Title,Language,Release_Date,Genres,Runtime,Director,Lead_Actors,IMDb_Rating,BMS_Rating,Avg_Rating
House Owner,Tamil,15/02/19,Drama; Thriller,109,Lakshmy Ramakrishnan,Jayaraj Subramaniam; Charulatha Balakrishnan,7,6.9,6.95
The Prophet,Tamil,27/09/19,Biography; Drama,63,G. Marimuthu,Sridhar (Devaduta),7,6.6,6.8
Game Over,Tamil,05/04/19,Thriller; Horror,102,Ashwin Saravanan,Taapsee Pannu,6.9,7.4,7.15
LKG,Tamil,22/02/19,Political Satire; Comedy,124,K. R. Prabhu,RJ Balaji; Priya Anand,6.9,6.6,6.75
The Mosquito Philosophy,Tamil,10/05/19,Comedy; Drama,70,N. Harikumar,Vishakha Singh; same,6.9,6.9,6.9
Bow Bow,Tamil,12/07/19,Family; Drama,110,Mohan Krishna,Lisha; Siddharthan,6.8,6.8,6.8
Aghavan,Tamil,05/02/19,Action; Drama; Thriller,152,APG Elumalai,Kishore Ravichandran; Chirashree Anchan; Nithya Shetty,6.8,6.8,6.8
Bigil,Tamil,25/10/19,Action; Sports; Drama,179,Atlee,Vijay; Nayanthara; Jackie Shroff; Vivek; Kathir,6.7,7.1,6.9
V1 Murder Case,Tamil,22/03/19,Crime; Thriller,112,Rupesh Paul,Prashanth; Chandini Tamilarasan,6.7,6.5,6.6
Thambi,Tamil,29/11/19,Crime; Drama,149,Jeethu Joseph,Karthi; Priya Bhavani Shankar; Jyothika,6.7,7,6.85
Kaalidas,Tamil,18/10/19,Thriller; Crime,126,Vijay Kumar,Suresh Chandra Menon; Bharath Srinivasan; Aadhav Kannadasan,6.7,7,6.85
Monster,Tamil,28/11/19,Comedy; Horror,139,Bhanushankar,SJ Suryah; Karunakaran; Priya Bhavani Shankar,6.7,6.9,6.8
Azhiyatha Kolangal 2,Tamil,15/11/19,Drama,,B. Lenin,S. J. Suryah; etc.,6.7,6.4,6.55
Uchakattam,Tamil,05/07/19,Thriller; Drama,,Arivazhagan,,6.7,7.2,6.95
Thozhar Venkatesan,Tamil,01/09/19,Drama,112,Mahendran,,6.6,7.2,6.9
Champion,Tamil,29/11/19,Sports; Drama,109,Akash Gandhi,Mirnalini Ravi; Narain,6.6,7,6.8
Bodhai Yeri Budhi Maari,Tamil,15/02/19,Comedy; Thriller,124,Suresh.R.Kumar,Harish Kalyan; Anandhi,6.6,6.8,6.7
Rocky: The Revenge,Tamil,28/06/19,Action; Drama,152,Gopi Krishna,Atharvaa Murali; Hansika Motwani,6.6,6.5,6.55
100,Tamil,22/11/19,Crime; Drama,141,Sam Anton,Atharvaa Murali; Hansika Motwani,6.5,6.5,6.5
Natpe Thunai,Tamil,31/05/19,Sports; Drama,154,D. Parthiban,Hiphop Tamizha Adhi; Kousalya; Anagha L.K.,6.4,6.1,6.25
Ispade Rajavum Idhaya Raniyum,Tamil,21/06/19,Romantic; Drama,153,Yuthan Balaji,Harish Kalyan; Ma Ka Pa Anand; Shilpa Manjunath,6.4,6.1,6.25
Thirumanam,Tamil,25/10/19,Family; Drama,156,Cheran,Jai; Keerthy Suresh,6.4,6.3,6.35
Pizhai,Tamil,18/01/19,Children; Drama,112,T. V. Chandran,Young cast,6.4,6.3,6.35
Hero,Tamil,19/07/19,Action; Drama,164,PS Mithran,Sivakarthikeyan; Abhay Deol; Arjun Sarja; Kalyani Priyadarshan,6.3,6,6.15
Suttu Pidikka Utharavu,Tamil,01/11/19,Action; Thriller,136,Velraj,Suseenthiran; Mysskin; Vikranth,6.3,6.5,6.4
Kattumaram,Tamil,15/01/19,Drama,73,Velu Prabhakaran,anoj; tau—,6.3,6.3,6.3
Kaappaan,Tamil,20/09/19,Action; Thriller,166,K. V. Anand,Suriya; Mohanlal; Arya; Sayyeshaa Saigal; Samuthirakani,6.2,6.1,6.15
Kanne Kalaimaane,Tamil,22/02/19,Romantic Drama,126,Seenu Ramasamy,Udhayanidhi Stalin; Tamannaah Bhatia,6.2,6.2,6.2
Marina Puratchi,Tamil,13/12/19,Drama,76,M. S. Raj,Naveen Kumar; Shruti Reddy,6.2,6.6,6.4
Adithya Varma,Tamil,22/11/19,Romantic Drama,167,Gireeshaaya,Dhruv Vikram; Banita Sandhu; Priya Anand,6.1,6.1,6.1
Aadai,Tamil,19/07/19,Thriller,143,Rathna Kumar,Amala Paul; Ananya Ramaprasad; Vivek Prasanna; Ramya Subramanian,6.1,5.9,6
Ayogya,Tamil,10/05/19,Action; Thriller,150,Venkat Mohan,Vishal; Raashii Khanna; R. Parthiban; K. S. Ravikumar; Pooja Devariya,6.1,6.6,6.35
Namma Veettu Pillai,Tamil,27/09/19,Action; Comedy; Drama,153,Pandiraj,Sivakarthikeyan; Aishwarya Rajesh; Anu Emmanuel; Samuthirakani; Soori,6,6.4,6.2
K-13,Tamil,03/05/19,Mystery; Thriller,104,Barath Neelakantan,Arulnithi; Shraddha Srinath; Gayathrie; Yogi Babu,6,5.8,5.9
Nenjamundu Nermaiyundu Odu Raja,Tamil,03/05/19,Comedy; Drama,118,R. Vivek,Rio Raj; RJ Vigneshkanth,6,5.6,5.8
Padmavyuhathile Abhimanyu,Malayalam,03/08/19,Drama,130,Vineesh Aradya,Anoop Chandran; Indrans; Sona Nair,9.3,9.7,9.5
Kumbalangi Nights,Malayalam,07/07/19,Drama,135,Madhu C. Narayanan,"Shane Nigam, Fahadh Faasil, Soubin Shahir, Sreenath Bhasi",8.5,8.8,8.65
The Great Indian Road Movie,Malayalam,22/03/19,"Drama, Road, Travel",120,Sohanlal,"Suraj Venjaramoodu, Master Rudraksh",8.5,9.1,8.8
Adutha Chodyam,Malayalam,06/12/19,"Thriller, Drama",112,A.K.S. Nambiar,"Sreejith Ravi, Siju Wilson, Vinay Forrt",8.4,8.3,8.35
Vaarthakal Ithuvare,Malayalam,15/11/19,"Comedy, Thriller",121,Manoj Nair,"Nandhu, Siju Wilson, Vinay Forrt, Mammukoya",8.4,8.2,8.3
Upama,Malayalam,,Drama,82,Sasikanthan,"Manasa Prabhu, Anas Rahim J, Harikrishnan R.G.",8.2,7.8,8
Nalla Vishesham,Malayalam,,"Drama, Social",102,Sreeji Gopinathan,,8.1,7.9,8
Ennodu Para I Love You Ennu,Malayalam,,Romantic Comedy,116,nan+A360,"Sooraj Thelakkadu, Ilhan, Al Sabith",8.1,8,8.05
Uyare,Malayalam,26/04/19,Drama,125,Manu Ashokan,"Parvathy Thiruvothu, Asif Ali, Tovino Thomas",8,7.9,7.95
Android Kunjappan Ver 5.25,Malayalam,11/08/19,"Comedy, Drama, Sci-Fi",140,Ratheesh Balakrishnan Poduval,"Suraj Venjaramoodu, Soubin Shahir, Kendy Zirdo",8,7.8,7.9
28,Malayalam,13/12/19,"Thriller, Drama",105,Jiyen Krishnakumar,"Anoop Menon, Bhagath Manuel, Sreejith Ravi",8,8.5,8.25
Rakshapurushan,Malayalam,22/03/19,"Thriller, Drama",122,Deepan Sivaraman,"Deepak Menon, Anu Nair",8,7.6,7.8
Thanneermathan Dinangal,Malayalam,26/07/19,"Comedy, Romance, Drama",136,Girish A.D.,"Mathew Thomas, Vineeth Sreenivasan, Anaswara Rajan",7.8,8.2,8
Trees Under the Sun,Malayalam,08/07/19,"Drama, Social Issues",108,Dr. Biju,"Indrans, Prakash Bare",7.8,7.5,7.65
Virus,Malayalam,06/07/19,"Drama, Thriller, Medical",152,Aashiq Abu,"Kunchacko Boban, Parvathy Thiruvothu, Revathi, Tovino Thomas, Zakariya",7.7,7.4,7.55
Unda,Malayalam,14/06/19,"Action, Drama, Political",130,Khalid Rahman,"Mammootty, Jacob Gregory, Rony David, Lukman Avaran",7.7,8,7.85
Helen,Malayalam,15/11/19,"Thriller, Drama",117,Mathukutty Xavier,"Anna Ben, Lal, Noble Babu Thomas",7.7,8.1,7.9
Thamaasha,Malayalam,06/05/19,"Comedy, Drama",120,Ashraf Hamza,"Vinay Forrt, Chinnu Chandni",7.7,7.6,7.65
Pengalila,Malayalam,03/08/19,"Drama, Family, Social",111,T. V. Chandran,"Lal, Akshara Kishor",7.6,7.4,7.5
Unmadiyude Maranam,Malayalam,15/08/19,"Fantasy, Satire",78,Harikumar V.S.,"Unni Maya, Saju Kodiyan",7.6,7.2,7.4
Ilayaraja,Malayalam,22/03/19,Drama,141,Madhav Ramadasan,"Guinness Pakru, Gokul Suresh, Deepak Parambol",7.6,7.5,7.55
Lucifer,Malayalam,28/03/19,"Action, Thriller, Political",175,Prithviraj Sukumaran,"Mohanlal, Vivek Oberoi, Manju Warrier, Tovino Thomas",7.5,7,7.25
Ishq,Malayalam,17/05/19,"Drama, Romance, Thriller",134,Anuraj Manohar,"Shane Nigam, Ann Sheetal",7.5,7.9,7.7
Kettiyollaanu Ente Maalakha,Malayalam,22/11/19,"Drama, Family",135,Nissam Basheer,"Asif Ali, Veena Nandakumar",7.5,7.2,7.35
Abode,Malayalam,05/04/19,Drama,83,Jiju Antony,"Seema Biswas, Anu Mohan",7.5,7.7,7.6
A Night A Day,Malayalam,10/12/19,Drama,76,Yamuna Chungappalli,"Yamuna Chungappalli, Kannan Nair",7.5,7.6,7.55
Kenjira,Malayalam,12/12/19,"Drama, Social",97,Manoj Kana,"Vinusha Ravi, Sreeya Suresh, Sreeraj",7.5,8.1,7.8
June,Malayalam,31/05/19,"Coming-of-age, Drama",141,Ahammed Khabeer,"Rajisha Vijayan, Sarjano Khalid, Joju George",7.4,8,7.7
The Elder One,Malayalam,27/09/19,Drama,125,Jeevan Job Thomas,"Shashank Arora, Nivin Pauly",7.4,7.4,7.4
Vikruthi,Malayalam,10/04/19,"Comedy, Drama, Social",123,Emcy Joseph,"Suraj Venjaramoodu, Soubin Shahir",7.4,6.9,7.15
Ningal Camera Nireekshanathilaanu,Malayalam,25/10/19,"Thriller, Drama",117,Cibin Chandran,"Bhagath Manuel, Surabhi Lakshmi",7.4,7.2,7.3
Jallikattu,Malayalam,10/04/19,"Action, Drama, Thriller",95,Lijo Jose Pellissery,"Antony Varghese, Chemban Vinod Jose, Sabumon Abdusamad",7.3,7.1,7.2
Biriyaani,Malayalam,12/06/19,"Drama, Social",95,Sajin Baabu,"Kani Kusruti, Shailaja Jala, Shyam Reji",7.2,7.2,7.2
Driving Licence,Malayalam,20/12/19,"Comedy, Drama",135,Jean Paul Lal (Lal Jr),"Prithviraj Sukumaran, Suraj Venjaramoodu",7.2,6.9,7.05
Lessons,Malayalam,18/10/19,"Anthology, Drama",97,Shanil,"Devaki Rajendran, Rachana Narayanankutty",7.2,7.7,7.45
Vijay Superum Pournamiyum,Malayalam,01/11/19,"Drama, Romance",135,Jis Joy,"Asif Ali, Aishwarya Lekshmi",7.1,7,7.05
"1956, Central Travancore",Malayalam,11/08/19,"Historical, Drama",94,Don Palathara,"Assif Yogi, Jain Andrews",7.1,7.1,7.1
Ambili,Malayalam,08/09/19,"Comedy, Drama",140,Johnpaul George,"Soubin Shahir, Tanvi Ram",7,6.7,6.85
And the Oskar Goes To..,Malayalam,07/05/19,Drama,124,Salim Ahamed,"Tovino Thomas, Siddique, Anu Sithara",7,7.1,7.05
Finals,Malayalam,09/06/19,"Drama, Sports",122,P.R. Arun,"Rajisha Vijayan, Suraj Venjaramoodu, Niranj Maniyanpilla Raju",7,6.9,6.95
Luca,Malayalam,28/06/19,Romantic Thriller,151,Arun Bose,"Tovino Thomas, Ahaana Krishna",6.9,7.4,7.15
Prathi Poovankozhi,Malayalam,20/12/19,"Thriller, Drama",102,Rosshan Andrrews,"Manju Warrier, Anusree, Rosshan Andrrews",6.9,6.8,6.85
Thottappan,Malayalam,07/05/19,Drama,140,Shanavas K Bavakutty,"Vinayakan, Priyamvada Krishnan",6.9,6.7,6.8
Porinju Mariyam Jose,Malayalam,23/08/19,"Action, Drama",148,Joshiy,"Joju George, Nyla Usha, Chemban Vinod Jose",6.8,6.5,6.65
Manoharam,Malayalam,27/09/19,"Comedy, Drama",122,Anvar Sadik,"Vineeth Sreenivasan, Aparna Das",6.8,6.3,6.55
9,Malayalam,02/07/19,"Sci-Fi, Thriller, Drama",149,Jenuse Mohamed,"Prithviraj Sukumaran, Mamta Mohandas, Wamiqa Gabbi",6.7,6.9,6.8
Anukoni Athidhi,Malayalam,04/12/19,"Thriller, Psychological",136,Vivek,"Fahadh Faasil, Sai Pallavi",6.7,6.5,6.6
Swapnarajyam,Malayalam,17/05/19,"Drama, Inspirational",125,Ranjith Vijay,"Jagadish, Sunil Sukhada, Maala Parvathi",6.7,6.9,6.8
Ormayil Oru Shishiram,Malayalam,13/09/19,"Romance, Coming-of-age",133,Vivek Aryan,"Anaswara Ponnambath, Deepak Parambol",6.7,7.1,6.9
Swarna Malsyangal,Malayalam,17/05/19,"Drama, Comedy, Children",118,Ajeesh Antony,"Anand Babu, Devika Rajendran, Master Arjun",6.7,7.1,6.9
Naan Petta Makan,Malayalam,03/01/19,"Drama, Political",132,Shaan Thulasidharan,"Minon, Joy Mathew, Sreenivasan",6.7,6.5,6.6
Hridyam,Malayalam,12/06/19,"Short Film, Drama",97,Lijin Jose,"Kannan Nair, Sreekutty",6.6,7.2,6.9
Munthiri Monchan,Malayalam,25/10/19,"Comedy, Romance",130,Vijith Nambiar,"Manesh Krishnan, Gopika Anil, Devan, Innocent",6.6,6.5,6.55
Mohabbathin Kunjabdulla,Malayalam,11/08/19,"Romance, Comedy",135,Shanu Samad,"Indrans, Anju Aravind, Balu Varghese",6.6,7.1,6.85
Mr. Pavanayi 99.99,Malayalam,28/06/19,"Action, Comedy, Thriller",110,Babu Pisharody,"Ullas Panthalam, Captain Raju, Kottayam Nazeer",6.6,6,6.3
Kakshi: Amminippilla,Malayalam,28/06/19,"Comedy, Drama, Courtroom",135,Dinjith Ayyathan,"Asif Ali, Ahmed Sidhique, Basil Joseph",6.5,6.8,6.65
Janamaithri,Malayalam,19/07/19,"Comedy, Satire",122,John Manthrickal,"Saiju Kurup, Indrans, Sabumon Abdusamad",6.5,6.7,6.6
Varikkuzhiyile Kolapathakam,Malayalam,22/02/19,"Crime, Thriller",120,Rejishh Midhila,"Amith Chakalakkal, Dileesh Pothan, Lena",6.5,6.8,6.65
Eelam,Malayalam,01/11/19,"Crime, Drama",115,Arun Sivaprasad,"Sreejith Ravi, Anumol, Sreevidya Mullachery",6.5,6.4,6.45
Isakkinte Ithihasam,Malayalam,02/01/19,"Drama, Family, Comedy",135,R.K. Ajayakumar,"Kani Kusruti, Siddique, Dain Davis",6.5,6.3,6.4
Ormma,Malayalam,18/10/19,Drama,127,Suresh Thiruvalla,"Gayathri Arun, Sreevidya Mullachery",6.4,6.3,6.35
Gramavasees,Malayalam,18/01/19,"Satire, Drama",113,M. R. Anoop,"Indrans, Azees Nedumangad, Santhosh Keezhattoor",6.4,6.5,6.45
Pattabhiraman,Malayalam,23/08/19,"Comedy, Drama",139,Kannan Thamarakkulam,"Jayaram, Miya George, Dharmajan Bolgatty",6.3,6.8,6.55
Run Kalyani,Malayalam,10/03/19,"Drama, Art House",100,Geetha J.,"Garggi Ananthan, Ramesh Varma",6.3,6.8,6.55
Freakens,Malayalam,02/08/19,"Thriller, Comedy",124,Anish J. Karrinad,"Indrans, Biju Sopanam",6.3,6.1,6.2
Praana,Malayalam,18/01/19,"Thriller, Psychological",107,V.K. Prakash,Nithya Menen,6.2,6.2,6.2
Patham Classile Pranayam,Malayalam,03/01/19,"Romance, Drama",121,"Arjun Prabhakaran, Gokul Ramakrishnan","Sarangi Suresh, Shanavas Shanu",6.2,5.9,6.05
Thanka Bhasma Kuriyitta Thamburatty,Malayalam,22/11/19,"Fantasy, Satire",134,Sajimon Parayil,"Seema G. Nair, Kalabhavan Navas",6.1,6.5,6.3
Bolivia,Malayalam,07/05/19,"Crime, Thriller, Drama",122,Anil Radhakrishnan Menon,"Neena Kurup, Soumya Sadanandan",6.1,6.6,6.35
Sullu,Malayalam,20/12/19,"Thriller, Drama",102,V.R. Gopalakrishnan,"Master Vasudev, Anumol, Santhosh Keezhattoor",6,6.1,6.05
Rameshan Oru Peralla,Malayalam,13/12/19,Drama,120,Sujith Vigneshwar,"Divyadarshan, Shailaja Ambu, Manikandan, Rajesh Sharma",6,6.5,6.25
Ottam,Malayalam,09/06/19,"Drama, Youth",120,Zam,"Roshan Ullas, Nandu Anand",6,6,6
Vallikkettu,Malayalam,27/09/19,"Romance, Drama",114,Jibu Tony,"Ashkar Saudan, Pooja Mohanraj",6,5.5,5.75
Oru Caribbean Udayippu,Malayalam,04/05/19,"Musical, Campus, Drama",131,A.J. Joseph,"Vishnu Govindhan, Mareena Michael, Aneesh Menon",6,6.3,6.15
Janaadhipan,Malayalam,05/10/19,"Political, Drama, Thriller",120,Thanseer M.A.,"Hareesh Peradi, Vani Kishore, Sunil Sukhada",6,5.8,5.9
Oru Mass Kadha Veendum,Malayalam,03/01/19,"Comedy, Action, Drama",153,Vinu Ramachandran,"Mammukoya, Bheeman Raghu, Dinesh Panicker",6,6.2,6.1
Pichhodu,Telugu,20/12/19,"Drama, Romance",128,Srinivas Chanderi,"Vamshi, Harika, Madhu",9.3,8.9,9.1
Beach Road Chetan,Telugu,03/08/19,Thriller,137,Chetan Maddineni,"Chetan Maddineni, Teja Reddy, Aadi",9.2,9,9.1
Gor Jeevan,Telugu,08/02/19,Drama,141,Kpn Chawhan,"Gor Jeevan, Nisha Patel",9.1,9.6,9.35
Jersey,Telugu,19/04/19,"Sports, Drama",157,Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj",8.5,8.1,8.3
Pawanism 2,Telugu,09/01/19,"Action, Drama",125,A. Mahesh Kumar,"Kalyan, Vamsi Krishna, Srikanth",8.4,8.7,8.55
Agent Sai Srinivasa Athreya,Telugu,21/06/19,"Crime, Comedy, Thriller",148,Swaroop RSJ,"Naveen Polishetty, Shruti Sharma, Suhas",8.3,8.5,8.4
Kaliyuga,Telugu,27/09/19,"Thriller, Sci-Fi",129,Surya M,"Surya M, Tejaswi Madivada",8.3,8.4,8.35
Mathu Vadalara,Telugu,25/12/19,"Crime, Thriller, Comedy",130,Ritesh Rana,"Sri Simha Koduri, Satya, Naresh Agastya",8.2,8.1,8.15
Mallesham,Telugu,21/06/19,"Biopic, Drama",131,Raj Rachakonda,"Priyadarshi, Jhansi, Ananya",8.2,8,8.1
Madhanam,Telugu,12/06/19,"Thriller, Romance",128,Ajay Sai Manikandan,"Ajay Sai Manikandan, Sneha, Vinay",8.2,7.9,8.05
Evaru,Telugu,15/08/19,"Thriller, Crime, Mystery",118,Venkat Ramji,"Adivi Sesh, Regina Cassandra, Naveen Chandra",8.1,8.4,8.25
Ayyappa Kataksham,Telugu,12/06/19,"Devotional, Drama",137,B. Harinath,"Dileep, Ramu, Pranathi, Arun",8.1,8.4,8.25
Brochevarevarura,Telugu,28/06/19,"Comedy, Crime, Drama",138,Vivek Athreya,"Sree Vishnu, Nivetha Thomas, Nivetha Pethuraj, Satya",8,8.4,8.2
Rakshasudu,Telugu,08/02/19,"Thriller, Crime",122,Ramesh Varma,"Bellamkonda Sai Srinivas, Anupama Parameswaran, Saravanan",7.9,8,7.95
Romantic Criminals,Telugu,17/05/19,"Drama, Romance, Crime",126,Suneel Kumar Reddy,"Avantika Munni, Divya Vijju, K. Vinay",7.8,7.3,7.55
"Wife, i",Telugu,14/02/19,"Thriller, Drama",125,GSSP Kalyan,"Kalyan, Mahesh Reddy, Jyothi",7.7,7.2,7.45
Swayamvada,Telugu,08/09/19,"Psychological, Romance",131,Suneel Kumar Reddy,"Aditya Alluri, Anika Rao, Krishna Murali Posani",7.7,8,7.85
Raghupathi Venkaiah Naidu,Telugu,29/11/19,"Biopic, Historical",97,Babji,Naresh Vijaya Krishna,7.7,8.1,7.9
Gang Leader,Telugu,13/09/19,"Action, Comedy, Revenge",155,Vikram K. Kumar,"Nani, Priyanka Arul Mohan, Kartikeya Gummakonda",7.6,7.9,7.75
Ranasthalam,Telugu,22/11/19,"Action, Drama",125,Bandi Saroj Kumar,"Mahesh Babu Kalidindi, Alekhya Sharma",7.6,7.1,7.35
Rahasyam,Telugu,22/02/19,"Horror, Thriller",100,Srinivas Gopisetty,"Ravi Babu, Rithika",7.5,7.4,7.45
Prementha Panichese Narayana,Telugu,21/06/19,Romantic Comedy,122,Jonnalagadda Srinivas,"Akshitha, Tarun Shetty",7.5,7.7,7.6
Raja Vaaru Rani Gaaru,Telugu,29/11/19,"Romance, Drama",133,Ravi Kiran Kola,"Kiran Abbavaram, Rahasya Gorak",7.4,7,7.2
Dear Comrade,Telugu,26/07/19,"Action, Romance, Drama",169,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna",7.3,7.8,7.55
Majili,Telugu,04/05/19,"Romance, Drama",154,Shiva Nirvana,"Naga Chaitanya, Samantha Ruth Prabhu",7.3,6.9,7.1
Oh Baby,Telugu,07/05/19,"Fantasy, Comedy, Drama",161,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi",7.3,6.9,7.1
Sye Raa Narasimha Reddy,Telugu,10/02/19,"Historical, Action, War",167,Surender Reddy,"Chiranjeevi, Amitabh Bachchan, Nayanthara",7.2,6.8,7
Prema Janta,Telugu,25/10/19,"Romance, Drama",128,Shivaraj Kanumuri,"Venkat Krishna, Swetha Varma",7.2,7.5,7.35
Maharshi,Telugu,05/09/19,"Action, Drama, Inspirational",176,Vamshi Paidipally,"Mahesh Babu, Pooja Hegde, Allari Naresh",7.1,6.6,6.85
Boy,Telugu,23/08/19,"Coming-of-age, Drama",129,Amar Viswaraj,"Lakshya Sinha, Sahithi Dasari",7.1,7.4,7.25
Chitralahari,Telugu,04/12/19,"Drama, Romance",131,Kishore Tirumala,"Sai Dharam Tej, Kalyani Priyadarshan, Nivetha Pethuraj",7.1,7.2,7.15
Kousalya Krishnamurthy,Telugu,23/08/19,"Sports, Drama",149,Bhimaneni Srinivasa Rao,"Aishwarya Rajesh, Sivakarthikeyan",7.1,6.9,7
Mouname Ishtam,Telugu,25/10/19,"Romance, Drama",135,Srikanth Ranganathan,"Ashok Galla, Sri Nikitha",7.1,6.9,7
Evvarikee Cheppoddu,Telugu,11/08/19,"Drama, Romance",133,Basava Shankar Eeday,"Rakesh Varre, Gargeyi Yellapragada",7,6.5,6.75
Ajay Passayyadu,Telugu,29/11/19,"Action, Romance",122,Siva Reddy Sanapala,"Ajay, Ambika Vani",7,6.6,6.8
Evadu Thakkuva Kadu,Telugu,18/01/19,"Action, Drama",125,R.R.K.,"Ajay, Abhiram, Yamini",7,6.5,6.75
Heza,Telugu,12/12/19,"Horror, Thriller",111,Munna Kasi,"Munna Kasi, Mumait Khan",6.9,6.6,6.75
