Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Thunivu,Tamil,11-Jan-23,"Action, Thriller",146,H. Vinoth,"Ajith Kumar, Manju Warrier, Samuthirakani",6.1,7.7,6.9
Conjuring Kannappan,Tamil,08-Dec-23,"Comedy, Horror",140,Selvin Raj Xavier,"Sathish, Regina Cassandra, Anandraj",6,7.2,6.6
Kazhuvethi Moorkkan,Tamil,26-May-23,"Drama, Action",152,Sy Gauthamraj,"Arulnithi, Dushara Vijayan, Santhosh Prathap",5.7,6.8,6.25
Pichaikkaran 2,Tamil,19-May-23,"Action, Drama, Sci-Fi",148,Vijay Antony,"Vijay Antony, Kavya Thapar, Hareesh Peradi",5.7,7.3,6.5
Sila Nodigalil,Tamil,14-Apr-23,"Thriller, Drama",94,Vinay Bharadwaj,"Richard Rishi, Yashika Aannand, Punnagai Poo Gheetha",5,6.4,5.7
Saba Nayagan,Tamil,15-Dec-23,"Comedy, Romance",155,C.S. Karthikeyan,"Ashok Selvan, Megha Akash, Karthika Muralidharan",6.7,7.8,7.25
Run Baby Run,Tamil,03-Feb-23,"Thriller, Mystery",131,Jiyen Krishnakumar,"RJ Balaji, Aishwarya Rajesh, Radhika Sarathkumar",6.3,7.6,6.95
Ratham,Tamil,06-Oct-23,"Drama, Thriller",142,C.S. Amudhan,"Vijay Antony, Mahima Nambiar, Ramya Nambeesan",6.3,7.1,6.7
Bottle Radha,Tamil,28-Jul-23,Drama,149,Dhinil Babu,"Adarsh, Monisha Blessy, Master Rudran",7.5,8.4,7.95
Partner,Tamil,25-Aug-23,"Comedy, Sci-Fi",124,Manoj Damodharan,"Aadhi, Hansika Motwani, Yogi Babu",4.4,6.1,5.25
Soppana Sundari,Tamil,14-Apr-23,"Comedy, Drama, Thriller",115,SG Charles,"Aishwarya Rajesh, Deepa, Lakshmi Priyaa Chandramouli",6.2,7.4,6.8
Japan,Tamil,10-Nov-23,"Action, Crime, Drama",156,Raju Murugan,"Karthi, Anu Emmanuel, Sunil",3.2,5.8,4.5
Let's Get Married,Tamil,28-Jul-23,"Comedy, Drama, Romance",152,Ramesh Thamilmani,"Harish Kalyan, Ivana, Nadhiya, Yogi Babu",4.7,6.5,5.6
The Great Indian Kitchen,Tamil,03-Feb-23,Drama,100,R. Kannan,"Aishwarya Rajesh, Rahul Ravindran",5.7,7,6.35
Veeran,Tamil,02-Jun-23,"Action, Fantasy, Superhero",155,ARK Saravan,"Hiphop Tamizha Aadhi, Vinay Rai, Munishkanth",7.3,8.2,7.75
The Road,Tamil,06-Oct-23,"Action, Thriller",143,Arun Vaseegaran,"Trisha Krishnan, Santhosh Prathap",5.3,6.7,6
Tik Tok,Tamil,21-Jul-23,"Horror, Thriller",180,Rajesh Kannan,"Priyanka Arulmohan, Shaan Lokesh, Murugan Chellappa",6.8,7.9,7.35
Thalainagaram 2,Tamil,23-Jun-23,"Action, Crime, Drama",143,V.Z. Dhorai,"Sundar C, Pallak Lalwani, Thambi Ramaiah",4.1,6,5.05
Asvins,Tamil,23-Jun-23,"Horror, Thriller",111,Tarun Teja Mallareddy,"Vasanth Ravi, Vimala Raman, Muralidaran",4.8,6.2,5.5
Bagheera,Tamil,03-Mar-23,"Crime, Drama, Thriller",130,Adhik Ravichandran,"Prabhu Deva, Amyra Dastur, Sakshi Agarwal",3.4,5.6,4.5
Kulasami,Tamil,21-Apr-23,"Action, Drama",121,Saravana Sakthi,"Vimal, Tanya Hope",4.9,6.5,5.7
800,Tamil,06-Oct-23,"Biography, Drama, Sport",158,M. S. Sripathy,"Madhur Mittal, Mahima Nambiar",7.1,8.2,7.65
Burqa,Tamil,07-Apr-23,"Drama, Romance",80,Sarjun KM,"Kalaiyarasan, Mirnaa Menon",6,7.3,6.65
Kannai Nambathey,Tamil,17-Mar-23,Thriller,131,Mu. Maran,"Udhayanidhi Stalin, Aathmika, Prasanna",5.8,6.9,6.35
Dinosaurs,Tamil,21-Jul-23,"Action, Thriller",150,M. R. Madhavan,"Udhay Karthik, Rishi Rithvik",6.4,7.5,6.95
Infinity,Tamil,07-Jul-23,"Crime, Thriller, Mystery",112,Sinish Sreedharan,"Natarajan Subramaniam, Vidya Pradeep",3.9,5.5,4.7
Yaathisai,Tamil,21-Apr-23,"Action, History, War",121,Dharani Rasendran,"Shakthi Mithran, Rajalakshmi, Semmalar Annam",7.1,8.4,7.75
Web,Tamil,08-Dec-23,"Thriller, Horror",118,Haroon,"Natty, Shilpa Manjunath, Anandhi",5.1,6.6,5.85
V3: Vindhya Victim Verdict,Tamil,06-Jan-23,"Crime, Drama, Thriller",127,Amudhavanan P,"Varalaxmi Sarathkumar, Aadukalam Naren, Paavana Gowda",7.6,8.5,8.05
Lucky Man,Tamil,01-Sep-23,"Comedy, Drama, Fantasy",134,Balaji Venugopal,"Yogi Babu, Veera, Raichal Rabecca",6.4,7.5,6.95
Kather Basha Endra Muthuramalingam,Tamil,02-Jun-23,"Action, Drama",152,M. Muthaiah,"Arya, Siddhi Idnani, Prabhu",4.5,6.3,5.4
Raakadhan,Tamil,16-Jun-23,"Crime, Thriller",114,Dinesh Kalaiselvan,"Vamsi Krishna, Soundarya, Riythvika",7.5,8,7.75
August 16 1947,Tamil,07-Apr-23,"Drama, History",144,N.S. Ponkumar,"Gautham Karthik, Revathy Sharma, Pugazh",6.7,7.8,7.25
Appatha,Tamil,29-Jul-23,"Drama, Family",116,Priyadarshan,"Urvashi, Sidharth Babu, Anjali Rao",7.2,8.1,7.65
Pizza 3: The Mummy,Tamil,28-Jul-23,"Horror, Thriller",123,Mohan Govind,"Ashwin Kakumanu, Pavithrah Marimuthu, Gaurav Narayanan",4.8,6.7,5.75
Kondraal Paavam,Tamil,10-Mar-23,"Crime, Drama, Thriller",109,Dayal Padmanabhan,"Varalaxmi Sarathkumar, Easwari Rao, Santhosh Prathap",7.3,8.2,7.75
Adiyae,Tamil,25-Aug-23,"Drama, Romance, Sci-Fi",139,Vignesh Karthick,"G.V. Prakash Kumar, Gouri G Kishan, Venkat Prabhu",6.3,7.4,6.85
Karungaapiyam,Tamil,19-May-23,"Horror, Mystery",134,D. Karthikeyan,"Kajal Aggarwal, Regina Cassandra, Kalaiyarasan",4.9,6.6,5.75
Harkara,Tamil,22-Sep-23,"Drama, History",125,Ram Arun Castro,"Ram Arun Castro, Gautham Vasudev Menon, Kaali Venkat",7,8,7.5
Theera Kadhal,Tamil,26-May-23,"Drama, Romance",128,Rohin Venkatesan,"Jai, Aishwarya Rajesh, Shivada Nair",6.4,7.5,6.95
Naangal,Tamil,14-Apr-23,"Drama, Family",156,Gowtham Sundararajan,"Gowtham Sundararajan, Baby Shrika",6.5,7.4,6.95
Rudhran,Tamil,14-Apr-23,"Action, Thriller",149,Kathiresan,"Raghava Lawrence, Priya Bhavani Shankar, Sarath Kumar",5.1,6.6,5.85
Vaazhvu Thodangumidam Neethanae,Tamil,03-Nov-23,"Romance, Social Drama",125,V. Rajagopal,"Kamal Kumar, Gokul, Smruthi, Yazhini",8.1,8.5,8.3
Ghosty,Tamil,17-Mar-23,"Comedy, Horror",139,Kalyaan,"Kajal Aggarwal, Yogi Babu, K.S. Ravikumar",4.2,6,5.1
Takkar,Tamil,09-Jun-23,"Action, Romance, Drama",138,Karthik G Krish,"Siddharth, Divyansha Kaushik, Yogi Babu",5.4,7.2,6.3
Baba Black Sheep,Tamil,14-Jul-23,"Comedy, Drama",119,Rajmohan Arumugam,"RJ Vigneshkanth, Narendra Prasad, Nithya Shri",3.8,6,4.9
Licence,Tamil,10-Nov-23,"Drama, Thriller",118,Ganapathy Balakrishnan,"G.V. Prakash Kumar, Mahalakshmi Shankar",6.6,7.7,7.15
Ra Ra Sarasukku Ra Ra,Tamil,04-Aug-23,"Drama, Comedy",116,Prathap Murali,"Karunakaran, Aadhira, Sampath Ram",7.6,8.2,7.9
Yaadhum Oore Yaavarum Kelir,Tamil,19-May-23,Drama,116,Venkata Krishna Roghanth,"Vijay Sethupathi, Megha Akash, Vivek, Kaniha",5.2,6.7,5.95
,,,,,,,,,
2018,Malayalam,05-May-23,"Drama, Thriller",150,Jude Anthany Joseph,"Tovino Thomas, Kunchacko Boban, Asif Ali",8.3,9.1,8.7
Iratta,Malayalam,03-Feb-23,"Crime, Drama, Thriller",112,Rohit M G Krishnan,"Joju George, Anjali, Arya Salim",7.7,8.2,7.95
Romancham,Malayalam,03-Feb-23,"Comedy, Horror",130,Jithu Madhavan,"Soubin Shahir, Arjun Ashokan, Chemban Vinod Jose",7.5,8.4,7.95
Falimy,Malayalam,17-Nov-23,"Comedy, Family, Drama",125,Nithish Sahadev,"Basil Joseph, Jagadish, Manju Pillai",7.3,8,7.65
18+ (Malayalam),Malayalam,06-May-23,"Drama, Romance",85,Arun Prabhakaran,"Vishnu Unnikrishnan, Meera Nair",8.7,9,8.85
Aattam,Malayalam,05-Jan-24,"Drama, Thriller",139,Anand Ekarshi,"Vinay Forrt, Zarin Shihab, Kalabhavan Shajohn",8.1,8.8,8.45
Kannur Squad,Malayalam,28-Sep-23,"Crime, Action, Thriller",161,Roby Varghese Raj,"Mammootty, Rony David Raj, Shabareesh Varma",7.6,8.5,8.05
Neru,Malayalam,21-Dec-23,"Drama, Courtroom",150,Jeethu Joseph,"Mohanlal, Priyamani, Siddique",7.5,8.3,7.9
Paachuvum Albhuthavilakkum,Malayalam,28-Apr-23,"Comedy, Drama",171,Akhil Sathyan,"Fahadh Faasil, Anjana Jayaprakash, Mukesh",7.3,8,7.65
RDX: Robert Dony Xavier,Malayalam,25-Aug-23,"Action, Drama, Thriller",151,Nahas Hidayath,"Shane Nigam, Antony Varghese, Neeraj Madhav",7,8.2,7.6
Santhosham,Malayalam,24-Feb-23,"Drama, Family",120,Ajith V Thomas,"Anu Sithara, Amith Chakalakkal, Kalabhavan Shajohn",6.7,7.6,7.15
Purusha Pretham,Malayalam,24-Mar-23,"Comedy, Crime, Thriller",153,Krishand,"Darshana Rajendran, Jagadish, Alexander Prasanth",7.2,8.1,7.65
Corona Papers,Malayalam,06-Apr-23,"Crime, Drama, Thriller",155,Priyadarshan,"Shane Nigam, Shine Tom Chacko, Siddique",6.4,7.5,6.95
18+ (Akhil & Athira),Malayalam,07-Jul-23,"Drama, Romance",122,Arun D Jose,"Naslen, Mathew Thomas, Meenakshi Dinesh",6.3,7.4,6.85
King of Kotha,Malayalam,24-Aug-23,"Action, Crime, Drama",174,Abhilash Joshiy,"Dulquer Salmaan, Aishwarya Lekshmi, Prasanna",6.1,7.8,6.95
Khali Purse of Billionaires,Malayalam,28-Apr-23,"Comedy, Drama",123,Maxwell Jose,"Arjun Ashokan, Aju Varghese, Dhyan Sreenivasan",2.8,5.5,4.15
Maharani,Malayalam,24-Feb-23,"Drama, Political Satire",127,G. Marthandan,"Shine Tom Chacko, Johny Antony, Nisha Sarangh",4.6,6.1,5.35
Theru,Malayalam,10-Mar-23,"Thriller, Drama",116,S.J. Sinu,"Amith Chakalakkal, Baburaj, Kalabhavan Shajohn",6.6,7.5,7.05
Dhoomam,Malayalam,23-Jun-23,"Drama, Thriller",143,Pawan Kumar,"Fahadh Faasil, Aparna Balamurali, Roshan Mathew",5.7,7,6.35
Phoenix,Malayalam,17-Nov-23,"Horror, Thriller",132,Vishnu Bharathan,"Aju Varghese, Chandhunadh, Anoop Menon",6,7.2,6.6
Pookkaalam,Malayalam,08-Apr-23,"Drama, Comedy",137,Ganesh Raj,"Vijayaraghavan, K.P.A.C. Leela, Roshan Mathew",7.3,8.2,7.75
Kaathal - The Core,Malayalam,23-Nov-23,"Drama, Political",114,Jeo Baby,"Mammootty, Jyotika, Joji Mundakayam",7.5,8.4,7.95
Alone,Malayalam,26-Jan-23,"Drama, Mystery, Thriller",122,Shaji Kailas,Mohanlal,3.4,6,4.7
Abhyuham,Malayalam,27-Oct-23,"Drama, Mystery",103,Akhil Sreenivas,"Ajmal Ameer, Athmiya Rajan, Shaju Sreedhar",7.1,7.9,7.5
Neymar,Malayalam,12-May-23,"Comedy, Drama",160,Sudhi Maddison,"Mathew Thomas, Naslen, Shammi Thilakan",6.5,7.6,7.05
Vanitha,Malayalam,17-Mar-23,"Thriller, Drama",110,Rahim Khader,"Gouri G. Kishan, Sminu Sijo, Anil Nedumangad",5.7,6.7,6.2
Antony,Malayalam,01-Dec-23,"Action, Family Drama",147,Joshiy,"Joju George, Kalyani Priyadarshan",6.3,7.5,6.9
Christy,Malayalam,17-Feb-23,"Drama, Romance",141,Alvin Henry,"Mathew Thomas, Malavika Mohanan",4.8,6.2,5.5
Kirkkan,Malayalam,28-Jul-23,"Crime, Thriller",121,Josh,"Salim Kumar, Johny Antony, Saritha Kukku",8,8.3,8.15
Kolla,Malayalam,09-Jun-23,"Crime, Thriller",123,Suraj Varma,"Rajisha Vijayan, Priya Prakash Varrier",5.5,6.8,6.15
Family,Malayalam,20-Oct-23,Drama,111,Sagan Thomas,"Shanavas Shanu, Sreedevip",6.1,7,6.55
Garudan,Malayalam,23-Mar-23,"Crime, Drama, Thriller",138,Arun Varma,"Suresh Gopi, Biju Menon",7.3,8,7.65
Asthra,Malayalam,17-Feb-23,"Action, Thriller",115,Sajin Lal,"Riyas, Sunil Sukhada",3.7,6.1,4.9
Neelavelicham,Malayalam,14-Jul-23,"Horror, Fantasy",132,Aashiq Abu,"Tovino Thomas, Rima Kallingal",5.8,7.2,6.5
Nona,Malayalam,16-Jun-23,"Drama, Comedy",147,Ganesh Raj,"Manikandan Achari, Anoop Khalid",8.4,8.9,8.65
Pendulum,Malayalam,10-May-23,"Mystery, Sci‑Fi",106,Rejin S. Babu,"Indrans, Anumol K. Manoharan",6.4,7.5,6.95
Pappachan Olivilaanu,Malayalam,22-Sep-23,"Comedy, Drama",134,Sinto Sunny,"Saiju Kurup, Lukman Avaran",4.1,6.2,5.15
Jackson Bazaar Youth,Malayalam,08-Dec-23,"Drama, Crime",111,Shamal Sulaiman,"Lukman Avaran, Jaffer Idukki",5.9,7.8,6.85
Valatty,Malayalam,24-Aug-23,"Family, Romance",113,Devan Joseph,"Roshan Mathew (voice), Raveena Ravi (voice)",7,8.1,7.55
Pulimada,Malayalam,07-Apr-23,"Thriller, Survival",110,A. K. Sajan,"Joju George, Aishwarya Rajesh",5.2,7,6.1
Ntikkakkakkoru Premondarnn,Malayalam,26-May-23,"Drama, Romance",125,Abhiram Suresh Unnithan,"Naslen, Vincy Aloshious",5.6,7.1,6.35
Rekha (2023),Malayalam,10-Mar-23,"Crime, Drama, Thriller",123,Rahman,"Aswathy Sreekanth, Anikha Surendran",6.4,8,7.2
Oh My Darling,Malayalam,19-Jan-23,"Romance, Drama",144,Alfred Kurian Joseph,"Melvin G. Babu, Anikha Surendran",4.4,6.9,5.65
Janaki Jaane,Malayalam,24-Aug-23,"Drama, Psychological",121,Prakash Menon,"Navya Nair, Saiju Kurup",5.9,7.6,6.75
Madhura Manohara Moham,Malayalam,25-May-23,"Comedy, Drama, Family",117,Aneesh Anwar,"Aarsha Chandini Baiju, Rajisha Vijayan",6.3,8.1,7.2
Pranaya Vilasam,Malayalam,14-Apr-23,"Romance, Anthology",123,Girish A.D.,"Varsha Bollamma, Niranj Suresh",6.8,8,7.4
Chaver,Malayalam,05-Jul-23,"Crime, Thriller",128,Uttar Kumar,"Kunchacko Boban, Antony Varghese",6.2,7.4,6.8
Pallotty 90's Kids,Malayalam,25-Aug-23,"Family, Drama",126,Tanaz Esha Kuria,"Althaf Salim, Balu Varghese",7.2,8.5,7.85
Rahel Makan Kora,Malayalam,01-Dec-23,"Drama, Social",132,K Sanoop,"Megha Thomas, Naslen",3.8,6.3,5.05
Ayalvaashi,Malayalam,29-Jun-23,"Drama, Comedy",107,Suresh Poduval,"Vijayaraghavan, Binu Pappu",5.8,7.2,6.5
Bandra,Malayalam,30-Nov-23,"Action, Drama, Mystery",150,Arun Gopy,"Dileep, Tamannaah Bhatia",4.4,6.2,5.3
Kasargold,Malayalam,15-Sep-23,"Action, Crime, Thriller",139,Mridul Nair,"Asif Ali, Sunny Wayne, Vinayakan",5.4,6.6,6
Missing Girl,Malayalam,04-Aug-23,"Horror, Thriller",112,Abdul Rasheed,"Appani Sarath, Vinod Kedamangalam",6.6,7.1,6.85
Queen Elizabeth,Malayalam,27-Oct-23,"Drama, Comedy",119,M. Padmakumar,"Meera Jasmine, Narain",4.5,6.8,5.65
Padmini,Malayalam,14-Jul-23,"Comedy, Romance",120,Senna Hegde,"Kunchacko Boban, Madonna Sebastian, Aparna Balamurali, Vincy Aloshious",6.4,7.5,6.95
Christopher,Malayalam,09-Feb-23,"Action, Thriller",150,B. Unnikrishnan,"Mammootty, Sneha, Amala Paul, Aishwarya Lekshmi",5.9,7.2,6.55
Madanolsavam,Malayalam,21-Apr-23,"Drama, Satire",129,Sudheesh Gopinath,"Suraj Venjaramoodu, Bhama Arun, Rajesh Madhavan",6.5,7.6,7.05
Boomerang,Malayalam,10-Mar-23,"Comedy, Drama",123,Manu Sudhakaran,"Shine Tom Chacko, Chemban Vinod Jose, Samyuktha Menon",3.4,5.9,4.65
Sulaikha Manzil,Malayalam,21-Apr-23,"Family, Drama",120,Ashraf Hamza,"Lukman Avaran, Anarkali Marikar",6.5,7.4,6.95
Thankam,Malayalam,26-Jan-23,"Crime, Drama",145,Saheed Arafath,"Biju Menon, Vineeth Sreenivasan",7.1,8.1,7.6
Live,Malayalam,12-May-23,"Thriller, Drama",125,V. K. Prakash,"Mamta Mohandas, Soubin Shahir, Priya Prakash Varrier",4.5,6.2,5.35
Little Miss Rawther,Malayalam,18-Aug-23,"Romance, Drama",122,Vishnu Dev,"Gouri Kishan, Shersha Sherief",5.1,6.7,5.9
Kadina Kadoramee Andakadaham,Malayalam,19-May-23,"Comedy, Drama",118,Muhashin,Basil Joseph,6.3,7.4,6.85
A Ranjith Cinema,Malayalam,08-Sep-23,"Comedy, Drama",149,Nishanth Sattu,"Asif Ali, Saiju Kurup, Anson Paul",5,6.3,5.65
Tholvi F.C.,Malayalam,03-Nov-23,"Family, Comedy",120,George Kora,"Sharaf U Dheen, Johny Antony, George Kora",5.9,7.1,6.5
Ennalum Ente Aliya,Malayalam,06-Jan-23,"Comedy, Family",113,Bash Mohammed,"Suraj Venjaramoodu, Lena, Siddique",5.5,6.4,5.95
Somante Krithavu,Malayalam,08-Dec-23,"Drama, Satire",121,Anoop Pandalam,"Sudheesh, Kalabhavan Shajohn",6,6.9,6.45
Voice of Sathyanathan,Malayalam,28-Jul-23,"Comedy, Thriller",135,Rafi,"Dileep, Joju George, Siddique",5.7,6.8,6.25
Thrishanku,Malayalam,26-May-23,"Comedy, Romance",112,Achyuth Vinayak,"Anna Ben, Arjun Ashokan",6.3,7.2,6.75
The Hope,Malayalam,03-Nov-23,Drama,114,Amjad Hussain,"Lenaa, Sijoy Varghese",9,8.4,8.7
O.Baby,Malayalam,20-Oct-23,"Drama, Family",126,Ranjan Pramod,"Dileesh Pothan, Haniya Nafisa",6.7,7.6,7.15
Adrishya Jalakangal,Malayalam,24-Nov-23,"Thriller, Fantasy",128,Bijukumar Damodaran,"Tovino Thomas, Nimisha Sajayan",4.8,6.2,5.5
Vela,Malayalam,10-Nov-23,"Crime, Thriller",148,Syam Sasi,"Shane Nigam, Sunny Wayne",8,8.5,8.25
Jailer,Malayalam,15-Sep-23,"Thriller, Drama",122,Sakkir Madathil,"Dhyan Sreenivasan, Manoj K. Jayan",2.8,5.4,4.1
Dance Party,Malayalam,08-Dec-23,"Comedy, Romance",118,Sohan Seenulal,"Shine Tom Chacko, Sritha Sivadas",3.4,5.7,4.55
Enthada Saji,Malayalam,08-Apr-23,"Comedy, Drama",123,Godfy Babu,"Nivetha Thomas, Kunchacko Boban, Jayasurya",3.9,5.9,4.9
Adi,Malayalam,14-Apr-23,"Drama, Romance",131,Prasobh Vijayan,"Shine Tom Chacko, Ahaana Krishna",5.4,6.3,5.85
Mea Culpa,Malayalam,2023,Thriller,–,Unknown,Unknown,5.3,–,5.3
Enkilum Chandrike,Malayalam,17-Feb-23,"Comedy, Romance",126,Adithyan Chandrashekar,"Suraj Venjaramoodu, Saiju Kurup, Niranjana Anoop",5.6,6.7,6.15
Nadikalil Sundari Yamuna,Malayalam,15-Sep-23,"Comedy, Family, Romance",129,"Vijesh Panathur, Unni V","Dhyan Sreenivasan, Aju Varghese",5.3,6.4,5.85
Thuramukham,Malayalam,10-Mar-23,"Historical, Drama",175,Rajeev Ravi,"Nivin Pauly, Poornima Indrajith, Indrajith Sukumaran",5.9,6.4,6.15
Kunjamminis Hospital,Malayalam,11-Aug-23,"Fantasy, Comedy",122,Sanal V. Devan,"Indrajith Sukumaran, Nyla Usha, Baburaj",6.1,7.2,6.65
Ayisha,Malayalam,20-Jan-23,"Biography, Drama",153,Aamir Pallikkal,"Manju Warrier, Radhika, Krishna Sankar",5.9,6.6,6.25
Corona Dhavan,Malayalam,04-Aug-23,"Comedy, Drama",130,C.C. Nithin,"Lukman Avaran, Johny Antony, Irshad",5.8,6.8,6.3
Kurukkan,Malayalam,27-Jul-23,"Comedy, Thriller",125,Jayalal Divakaran,"Vineeth Sreenivasan, Sreenivasan, Shine Tom Chacko",5.1,6,5.55
Philip's,Malayalam,24-Nov-23,"Family, Drama",106,Alfred Kurian Joseph,"Mukesh, Noble Babu Thomas",7.1,8,7.55
Ramachandra Boss & Co,Malayalam,25-Aug-23,"Heist, Action, Comedy",148,Haneef Adeni,"Nivin Pauly, Vinay Forrt, Jaffer Idukki",4.8,6.2,5.5
Maheshum Marutiyum,Malayalam,10-Mar-23,"Romance, Drama",134,Sethu,"Asif Ali, Mamta Mohandas",4.5,6,5.25
,,,,,,,,,
Hi Nanna,Telugu,07-Dec-23,"Drama, Family, Romance",155,Shouryuv,"Nani, Mrunal Thakur, Kiara Khanna",8.2,9.2,8.7
Bubblegum,Telugu,15-Apr-23,"Romance, Drama",146,Mark K Robin,"Harsha Chemudu, Jhanvi Arora",6.2,7,6.6
Salaar,Telugu,22-Dec-23,"Action, Thriller",175,Prashanth Neel,"Prabhas, Prithviraj Sukumaran, Shruti Haasan",6.6,8.5,7.55
Mangalavaram,Telugu,12-May-23,"Horror, Thriller",149,Ajay Bhupathi,"Payal Rajput, Nithiin",6.8,7.3,7.05
Baby,Telugu,06-Oct-23,"Romance, Drama",175,Sai Pawar,"Anand Deverakonda, Vaishnavi Chaitanya",7.1,7.8,7.45
Adipurush,Telugu,16-Jun-23,"Mythological, Drama",179,Om Raut,"Prabhas, Kriti Sanon, Saif Ali Khan",2.6,4,3.3
Ravanasura,Telugu,17-May-23,"Crime, Thriller",141,Sudheer Varma,"Ravi Teja, Disha Patani",5.7,6.5,6.1
