Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Vendhu Thanindhathu Kaadu,Tamil,15-Sep-22,"Action, Drama, Crime",177,Gautham Vasudev Menon,"Silambarasan TR, Siddhi Idnani",7.3,8.5,7.9
Connect,Tamil,22-Dec-22,"Horror, Thriller",99,Ashwin Saravanan,"Nayanthara, Anupam Kher, Vinay Rai",5.2,6.5,5.85
Sembi,Tamil,30-Dec-22,"Drama, Thriller",140,Prabhu Solomon,"Kovai Sarala, Ashwin Kumar Lakshmikanthan",7.6,8.4,8
Saani Kaayidham,Tamil,06-May-22,"Action, Crime, Drama",136,Arun Matheswaran,"Keerthy Suresh, Selvaraghavan",7.4,8.3,7.85
Vichithiran,Tamil,06-May-22,"Thriller, Drama",121,M. Padmakumar,"R. K. Suresh, Shamna Kasim, Madhu Shalini",6.5,7.4,6.95
FIR,Tamil,11-Feb-22,"Action, Thriller",156,Manu Anand,"Vishnu Vishal, Manjima Mohan, Reba Monica John",6.9,8.1,7.5
Deja Vu,Tamil,22-Jul-22,"Mystery, Thriller",117,Arvindh Srinivasan,"Arulnithi, Madhoo, Smruthi Venkat",6.6,7.6,7.1
Taanakkaran,Tamil,08-Apr-22,Drama,141,Tamizh,"Vikram Prabhu, Lal, Anjali Nair",8.1,8.8,8.45
Cobra,Tamil,31-Aug-22,"Action, Thriller, Crime",183,R. Ajay Gnanamuthu,"Vikram, Srinidhi Shetty, Roshan Mathew",6,7.4,6.7
Raangi,Tamil,30-Dec-22,"Action, Thriller",121,M. Saravanan,"Trisha, Anaswara Rajan, Bekzod Abdumalikov",4.8,6.5,5.65
Poochandi,Tamil,27-Jan-22,"Horror, Mystery",115,JK Wicky,"RJ Ramana, Ganesan Manohgaran",7,8,7.5
Not Reachable,Tamil,25-Feb-22,"Thriller, Crime",120,Chandru Muruganandham,"Vishwa, Haritha, Sai Dheena",6.1,7.2,6.65
D Block,Tamil,01-Jul-22,"Thriller, Mystery",134,Vijay Kumar Rajendran,"Arulnithi, Avantika Mishra",5.5,6.8,6.15
Nenjuku Needhi,Tamil,20-May-22,"Drama, Crime",138,Arunraja Kamaraj,"Udhayanidhi Stalin, Aari Arujunan",7.1,8.2,7.65
Nitham Oru Vaanam,Tamil,04-Nov-22,"Drama, Romance",146,Ra. Karthik,"Ashok Selvan, Ritu Varma, Aparna Balamurali",7.3,8.6,7.95
Captain,Tamil,08-Sep-22,"Action, Sci-Fi",120,Shakti Soundar Rajan,"Arya, Aishwarya Lekshmi, Simran",4.4,5.9,5.15
Naane Varuvean,Tamil,29-Sep-22,"Horror, Thriller",122,Selvaraghavan,"Dhanush, Elli Avrram, Indhuja",6.1,7.6,6.85
Manmatha Leelai,Tamil,01-Apr-22,"Drama, Romance, Adult",111,Venkat Prabhu,"Ashok Selvan, Riya Suman, Smruthi Venkat",6,7.3,6.65
Maayon,Tamil,24-Jun-22,"Adventure, Thriller, Mystery",131,N. Kishore,"Sibi Sathyaraj, Tanya Ravichandran",5.8,7.2,6.5
Oh My Ghost,Tamil,30-Dec-22,"Comedy, Horror, Fantasy",125,R. Yuvan,"Sunny Leone, Dharsha Gupta",2.3,4.9,3.6
Laththi,Tamil,22-Dec-22,"Action, Thriller",143,A. Vinoth Kumar,"Vishal, Sunainaa, Prabhu",6.4,7.8,7.1
Maalai Nera Malipoo,Tamil,09-Dec-22,Drama,119,Sanjay Narayanan,"Vinithra Menon, Ashwin, Vijayalakshmi Narayanan",7.9,8.7,8.3
Varalaru Mukkiyam,Tamil,09-Dec-22,"Comedy, Romance",150,Santhosh Rajan,"Jiiva, Kashmira Pardeshi, Pragya Nagra",4.2,6,5.1
Anbarivu,Tamil,07-Jan-22,"Action, Drama",165,Aswin Raam,"Hiphop Tamizha Adhi, Kashmira Pardeshi, Napoleon, Sai Kumar",7.2,8.1,7.65
Koogle Kuttappa,Tamil,06-May-22,"Comedy, Sci-Fi, Drama",127,Sabari–Saravanan,"K.S. Ravikumar, Losliya, Tharshan, Yogi Babu",6.2,7.5,6.85
Sila Nerangalil Sila Manidhargal,Tamil,28-Jan-22,"Drama, Anthology",139,Vishal Venkat,"Ashok Selvan, Bhanupriya, Riythvika, Nassar",8,8.8,8.4
Kalaga Thalaivan,Tamil,18-Nov-22,"Action, Thriller",141,Magizh Thirumeni,"Udhayanidhi Stalin, Nidhhi Agerwal",6.7,7.9,7.3
Viruman,Tamil,12-Aug-22,"Action, Drama, Family",149,M. Muthaiah,"Karthi, Aditi Shankar, Prakash Raj",4.9,6.3,5.6
My Dear Bootham,Tamil,15-Jul-22,"Fantasy, Drama, Family",122,N. Ragavan,"Prabhudeva, Ashwanth Ashokkumar",5.9,7.5,6.7
Maha,Tamil,22-Jul-22,"Crime, Thriller",171,U.R. Jameel,"Hansika Motwani, Silambarasan TR",3,4.8,3.9
The Legend,Tamil,28-Jul-22,"Action, Drama, Sci-Fi",161,J.D.–Jerry,"Legend Saravanan, Urvashi Rautela, Vivek",4.7,6.2,5.45
Enjoy,Tamil,23-Dec-22,"Comedy, Drama, Romance",140,Perumal Kasi,"Madan Kumar, Vignesh, Harish Kumar, Niranjana",6.3,7.4,6.85
Coffee with Kadhal,Tamil,04-Nov-22,"Comedy, Family, Romance",144,Sundar C,"Jiiva, Amritha Aiyer, Yogi Babu, Arya",4.7,6.5,5.6
Veerame Vaagai Soodum,Tamil,04-Feb-22,"Action, Drama, Thriller",166,Thu Pa Saravanan,"Vishal, Dimple Hayathi",6.3,7.6,6.95
Gulu Gulu,Tamil,29-Jul-22,"Action, Comedy, Drama",148,Rathna Kumar,"Santhanam, Athulya Chandra, Pradeep Rawat",5.8,6.9,6.35
Miral,Tamil,11-Nov-22,"Horror, Thriller",115,M. Sakthivel,"Bharath, Vani Bhojan",5.7,7.1,6.4
Kuruthi Aattam,Tamil,05-Aug-22,"Action, Drama, Thriller",147,Sri Ganesh,"Atharvaa Murali, Priya Bhavani Shankar",4.2,6.3,5.25
Iravin Nizhal,Tamil,15-Jul-22,"Drama, Experimental, Thriller",122,R. Parthiban,"R. Parthiban, Varalaxmi Sarathkumar, Robo Shankar",6.5,8.2,7.35
Selfie,Tamil,01-Apr-22,"Action, Drama, Thriller",128,Mathi Maran,"G.V. Prakash Kumar, Gautham Vasudev Menon, Varsha Bollamma",6,7.2,6.6
Trigger,Tamil,23-Sep-22,"Action, Thriller",137,Sam Anton,"Atharvaa, Tanya Ravichandran",5.9,7,6.45
Sinam,Tamil,16-Sep-22,"Action, Crime, Thriller",115,G. N. R. Kumaravelan,"Arun Vijay, Palak Lalwani, Kaali Venkat",5.2,6.3,5.75
Oh My Dog,Tamil,21-Apr-22,"Family, Drama",121,Sarov Shanmugam,"Arun Vijay, Arnav Vijay, Mahima Nambiar",6.4,7.5,6.95
Kurangu Pedal,Tamil,13-May-22,Drama,119,Kamalakannan,"Santhosh Velmurugan, Prasanna Balachander",7.6,8.4,8
Battery,Tamil,29-Jul-22,"Thriller, Drama",122,Mani Bharathi,"Senguttuvan, Ammu Abhirami",4.6,5.9,5.25
Natchathiram Nagargirathu,Tamil,31-Aug-22,"Drama, Romance, Musical",170,Pa. Ranjith,"Dushara Vijayan, Kalidas Jayaram, Kalaiyarasan",6.8,8.1,7.45
Veetla Vishesham,Tamil,17-Jun-22,"Comedy, Drama, Family",130,"RJ Balaji, N.J. Saravanan","RJ Balaji, Sathyaraj, Urvashi, Aparna Balamurali",6.9,8.2,7.55
Hello June,Tamil,17-Jun-22,"Drama, Romance",139,Ahammed Khabeer,"Rajisha Vijayan, Sarjano Khalid, Joju George",6.7,7.8,7.25
College Road,Tamil,30-Dec-22,"Thriller, Drama",124,Jai Amar Singh,"Lingesh, Monica Chinnakotla, Ananth Nag",8.3,8.9,8.6
,,,,,,,,,
Hridayam,Malayalam,21-Jan-22,"Drama, Romance, Coming-of-age",172,Vineeth Sreenivasan,"Pranav Mohanlal, Kalyani Priyadarshan, Darshana Rajendran",8.1,8.9,8.5
Jana Gana Mana,Malayalam,28-Apr-22,"Drama, Thriller, Legal",162,Dijo Jose Antony,"Prithviraj Sukumaran, Suraj Venjaramoodu",8.3,8.8,8.55
Mukundan Unni Associates,Malayalam,11-Nov-22,"Crime, Comedy, Thriller",128,Abhinav Sunder Nayak,"Vineeth Sreenivasan, Suraj Venjaramoodu",7.9,8.5,8.2
Ela Veezha Poonchira,Malayalam,15-Jul-22,"Crime, Drama, Mystery",104,Shahi Kabir,"Soubin Shahir, Sudhi Koppa, Jude Anthany Joseph",7.3,8.1,7.7
Kooman,Malayalam,04-Nov-22,"Thriller, Crime",153,Jeethu Joseph,"Asif Ali, Hannah Reji Koshy",7.3,8,7.65
Bheeshma Parvam,Malayalam,03-Mar-22,"Action, Crime, Drama",144,Amal Neerad,"Mammootty, Soubin Shahir, Shine Tom Chacko",7.6,8.4,8
Salute,Malayalam,17-Mar-22,"Crime, Drama, Thriller",145,Rosshan Andrrews,"Dulquer Salmaan, Diana Penty",7,8.1,7.55
John Luther,Malayalam,27-May-22,"Thriller, Crime",135,Abhijith Joseph,"Jayasurya, Siddique, Deepak Parambol",6.8,7.8,7.3
Udal,Malayalam,20-May-22,"Drama, Thriller",122,Ratheesh Raghunandan,"Indrans, Dhyan Sreenivasan, Durga Krishna",6.3,7.1,6.7
Thallumaala,Malayalam,12-Aug-22,"Action, Comedy, Drama",148,Khalid Rahman,"Tovino Thomas, Kalyani Priyadarshan, Shine Tom Chacko",7,8.4,7.7
The Teacher,Malayalam,02-Dec-22,"Drama, Thriller",121,Vivek,"Amala Paul, Hakkim Shah, Chemban Vinod Jose",6.3,7.4,6.85
Bhoothakaalam,Malayalam,21-Jan-22,"Horror, Drama, Mystery",105,Rahul Sadasivan,"Revathi, Shane Nigam, Saiju Kurup",7.4,8,7.7
Jaya Jaya Jaya Jaya Hey,Malayalam,28-Oct-22,"Comedy, Drama, Family",145,Vipin Das,"Darshana Rajendran, Basil Joseph, Azees Nedumangad",7.7,8.5,8.1
Chathuram,Malayalam,04-Nov-22,"Drama, Romance, Thriller",120,Sidharth Bharathan,"Roshan Mathew, Swasika Vijay, Santhy Balachandran",6.1,7.3,6.7
12th Man,Malayalam,20-May-22,"Mystery, Thriller",163,Jeethu Joseph,"Mohanlal, Unni Mukundan, Anusree",6.8,7.9,7.35
Aaraattu,Malayalam,18-Feb-22,"Action, Comedy, Drama",167,B. Unnikrishnan,"Mohanlal, Shraddha Srinath, Ramachandra Raju",3.7,5.9,4.8
Thattukada Muthal Semitheri Vare,Malayalam,05-Feb-22,"Drama, Family",95,Subash Varkey,"Mathews Pulickan, Nimmy Raphel",9.1,8.8,8.95
Rorschach,Malayalam,07-Oct-22,"Action, Mystery, Thriller",150,Nissam Basheer,"Mammootty, Grace Antony, Sharaf U Dheen",6.9,8.2,7.55
Kumari,Malayalam,28-Oct-22,"Fantasy, Horror, Mythological",137,Nirmal Sahadev,"Aishwarya Lekshmi, Shine Tom Chacko, Surabhi Lakshmi",6.4,7.6,7
CBI 5: The Brain,Malayalam,01-May-22,"Crime, Thriller, Mystery",162,K. Madhu,"Mammootty, Mukesh, Soubin Shahir",5.6,7.1,6.35
Paappan,Malayalam,29-Jul-22,"Crime, Thriller, Drama",169,Joshiy,"Suresh Gopi, Neeta Pillai, Gokul Suresh",6.7,7.9,7.3
Monster,Malayalam,21-Oct-22,"Action, Drama, Mystery",135,Vysakh,"Mohanlal, Lakshmi Manchu, Sudev Nair",4.4,6,5.2
Kuttavum Shikshayum,Malayalam,27-May-22,"Crime, Thriller",138,Rajeev Ravi,"Asif Ali, Alencier Ley Lopez, Sharafudheen",6.3,7.3,6.8
Kaduva,Malayalam,07-Jul-22,"Action, Drama",155,Shaji Kailas,"Prithviraj Sukumaran, Vivek Oberoi, Samyuktha Menon",6.1,7.4,6.75
Vaashi,Malayalam,17-Jun-22,"Drama, Legal, Romance",155,Vishnu G. Raghav,"Tovino Thomas, Keerthy Suresh",6.3,7.4,6.85
Makal,Malayalam,29-Apr-22,"Drama, Family",142,Sathyan Anthikad,"Jayaram, Meera Jasmine, Devika Sanjay",5.3,6.7,6
Nna Thaan Case Kodu,Malayalam,11-Aug-22,"Comedy, Drama, Satire",138,Ratheesh Balakrishnan Poduval,"Kunchacko Boban, Gayathrie, Basil Joseph",7.9,8.7,8.3
Palthu Janwar,Malayalam,02-Sep-22,"Comedy, Drama, Family",117,Sangeeth P. Rajan,"Basil Joseph, Indrans, Johny Antony",6.7,8,7.35
Antakshari,Malayalam,22-Apr-22,"Thriller, Mystery",121,Vipin Das,"Saiju Kurup, Priyanka Nair, Sudhi Koppa",6.5,7.6,7.05
Twenty One Grams,Malayalam,18-Mar-22,"Crime, Thriller",133,Bibin Krishna,"Anoop Menon, Renji Panicker, Leona Lishoy",6.9,8.1,7.5
Adrishyam,Malayalam,18-Nov-22,"Crime, Thriller",123,Zac Harriss,"Joju George, Narain, Sharafudheen",5.6,6.5,6.05
In,Malayalam,04-Mar-22,"Mystery, Thriller",81,Rajesh Keshav,"Deepti Sati, Vijay Babu, Arya Rohit",5.5,6.3,5.9
Holy Wound,Malayalam,15-Aug-22,"Drama, LGBTQ+",~95,Asok R Nath,"Janaki Sudheer, Amrita Vinod",6.6,7.2,6.9
Malayankunju,Malayalam,22-Jul-22,"Drama, Thriller",114,Sajimon Prabhakar,"Fahadh Faasil, Rajisha Vijayan",6.9,7.9,7.4
Ini Utharam,Malayalam,07-Oct-22,"Thriller, Crime, Drama",126,Sudheesh Ramachandran,"Aparna Balamurali, Harish Uthaman, Kalabhavan Shajohn",6.4,7.6,7
Bro Daddy,Malayalam,26-Jan-22,"Comedy, Drama, Family",159,Prithviraj Sukumaran,"Mohanlal, Prithviraj Sukumaran, Meena",7,8.1,7.55
Super Sharanya,Malayalam,07-Jan-22,"Comedy, Drama, Coming-of-age",161,Girish A D,"Anaswara Rajan, Arjun Ashokan, Mamitha Baiju",6.4,7.5,6.95
Nanpakal Nerathu Mayakkam,Malayalam,23-Dec-22,"Drama, Fantasy",105,Lijo Jose Pellissery,"Mammootty, Ramya Pandian",7.4,8.3,7.85
Malikappuram,Malayalam,30-Dec-22,"Adventure, Drama, Family",121,Vishnu Sasi Shankar,"Unni Mukundan, Deva Nandha, Sreepath",7.4,8.6,8
Pada,Malayalam,10-Mar-22,"Political, Drama, History",130,Kamal K.M.,"Kunchacko Boban, Joju George, Vinayakan, Dileesh Pothan",7.8,8.7,8.25
Kaapa,Malayalam,22-Dec-22,"Action, Crime, Thriller",136,Shaji Kailas,"Prithviraj Sukumaran, Asif Ali, Anna Ben",5.9,7.3,6.6
Pathaam Valavu,Malayalam,13-May-22,"Crime, Drama, Thriller",122,M. Padmakumar,"Indrajith Sukumaran, Suraj Venjaramoodu",6.2,7.1,6.65
Veekam,Malayalam,09-Dec-22,"Crime, Thriller, Forensic",120,Sagar Hari,"Dhyan Sreenivasan, Dinesh Prabhakar, Sheelu Abraham",3.2,6,4.6
Night Drive,Malayalam,11-Mar-22,"Crime, Thriller, Drama",118,Vysakh,"Indrajith Sukumaran, Anna Ben, Roshan Mathew",6.7,7.8,7.25
Jo and Jo,Malayalam,13-May-22,"Comedy, Drama, Family",134,Arun D. Jose,"Mathew Thomas, Naslen, Nikhila Vimal",7.1,8.2,7.65
I Am a Father,Malayalam,15-Jul-22,"Drama, Family",75,Nidheesh N.,"Rahul Madhav, Ranjini Haridas",7,7.5,7.25
Pathonpatham Noottandu,Malayalam,08-Sep-22,"History, Action, Drama",158,Vinayan,"Siju Wilson, Kayadu Lohar, Anoop Menon",6.8,7.6,7.2
Saudi Vellakka,Malayalam,02-Dec-22,"Drama, Legal, Social",137,Tharun Moorthy,"Lukman Avaran, Binu Pappu, Devi Varma",8,8.7,8.35
Naradan,Malayalam,03-Mar-22,"Drama, Thriller",150,Aashiq Abu,"Tovino Thomas, Anna Ben, Indrans",6,7.1,6.55
No Way Out,Malayalam,22-Jul-22,"Drama, Thriller",97,Nirmal Baby Varghese,"Raveena Nair, Basil Joseph, Dharmajan Bolgatty",5.4,6.5,5.95
Puzhu,Malayalam,13-May-22,"Drama, Thriller, Psychological",122,Ratheena PT,"Mammootty, Parvathy Thiruvothu",6.2,7.1,6.65
19 (1) (a),Malayalam,29-Jul-22,"Drama, Political, Social",108,Indhu V. S.,"Vijay Sethupathi, Nithya Menen",5,6.3,5.65
Gold,Malayalam,01-Dec-22,"Comedy, Crime, Drama",165,Alphonse Puthren,"Prithviraj Sukumaran, Nayanthara",4.7,6.2,5.45
Appan,Malayalam,28-Oct-22,"Drama, Family",129,Maju,"Sunny Wayne, Alencier Ley Lopez, Grace Antony",7.5,8.4,7.95
Meppadiyan,Malayalam,14-Jan-22,"Drama, Thriller",124,Vishnu Mohan,"Unni Mukundan, Saiju Kurup",7.1,8,7.55
Innale Vare,Malayalam,09-Jun-22,"Thriller, Drama",136,Jis Joy,"Asif Ali, Nimisha Sajayan, Antony Varghese",6.1,7,6.55
Prakashan Parakkatte,Malayalam,17-Jun-22,"Drama, Family, Coming-of-age",133,Shahad Nilambur,"Mathew Thomas, Saiju Kurup, Malavika Manoj",6.1,7.3,6.7
Four,Malayalam,20-May-22,"Drama, Social, Education",118,Sunil Hanif,"Minon, Mamitha Baiju, Gopika Ramesh",6.7,7.9,7.3
Theerppu,Malayalam,25-Aug-22,"Thriller, Political, Drama",156,Rathish Ambat,"Prithviraj Sukumaran, Isha Talwar, Indrajith Sukumaran",5.5,6.7,6.1
Vamanan,Malayalam,16-Dec-22,"Thriller, Survival",98,A.B. Binil,"Indrans, Seema G. Nair",3.2,5.2,4.2
Oru Thekkan Thallu Case,Malayalam,08-Sep-22,"Crime, Drama, Action",152,Sreejith N,"Roshan Mathew, Nimisha Sajayan, Biju Menon",6.4,7.2,6.8
A Violent Tale,Malayalam,29-Jul-22,"Action, Crime, Thriller",95,Arunlal Mohan,"Arun Siva, Anjana Mohan, Deepak Parambol",8.3,8.7,8.5
Padma,Malayalam,04-Nov-22,"Drama, Family, Psychological",122,Anoop Menon,"Anoop Menon, Surabhi Lakshmi",4.9,6.1,5.5
Dear Friend,Malayalam,10-Jun-22,"Drama, Mystery, Friendship",118,Vineeth Kumar,"Tovino Thomas, Darshana Rajendran, Basil Joseph",5.9,7.2,6.55
Aavasavyuham,Malayalam,04-Aug-22,"Fantasy, Drama, Satire",115,Krishand,"Rahul Rajagopal, Sreenath Babu, Zhinz Shan",7.8,8.3,8.05
Freedom Fight,Malayalam,11-Feb-22,"Drama, Anthology, Social",152,Jeo Baby (and others),"Rajisha Vijayan, Joju George, Srinda",7.5,8.2,7.85
Kochaal,Malayalam,10-Jun-22,"Drama, Crime, Action",147,Shyam Mohan,"Indrans, Murali Gopy, Shine Tom Chacko",6.7,7.4,7.05
Simon Daniel,Malayalam,19-Aug-22,"Mystery, Adventure, Thriller",122,Sajan Antony,"Vineeth Kumar, Divya Pillai",5.6,6.3,5.95
Mahaveeryar,Malayalam,21-Jul-22,"Fantasy, Time-travel, Courtroom",140,Abrid Shine,"Nivin Pauly, Asif Ali, Shanvi Srivastava",6.1,7.3,6.7
Jack N Jill,Malayalam,20-May-22,"Sci-Fi, Action, Comedy",125,Santosh Sivan,"Manju Warrier, Kalidas Jayaram, Indrans",1.5,3.9,2.7
,,,,,,,,,
RRR,Telugu,25-Mar-22,"Action, Drama, Historical",187,S. S. Rajamouli,"N. T. Rama Rao Jr., Ram Charan, Alia Bhatt, Ajay Devgn",7.8,9,8.4
Sita Ramam,Telugu,05-Aug-22,"Drama, Romance, War",163,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna",8.5,9.2,8.85
Tapana,Telugu,11-Nov-22,"Drama, Romance",96,Lakshmi Reddy,"Aamani, Gopi, Sree Ram",7,7.6,7.3
HIT: The 2nd Case,Telugu,02-Dec-22,"Crime, Thriller",150,Sailesh Kolanu,"Adivi Sesh, Meenakshi Chaudhary",7.2,8,7.6
Ladki: Enter the Girl Dragon,Telugu,15-Jul-22,"Action, Drama, Martial Arts",122,Ram Gopal Varma,"Pooja Bhalekar, Abhimanyu Singh",3.7,5.4,4.55
Odela Railway Station,Telugu,26-Aug-22,"Crime, Thriller, Mystery",91,Ashok Teja,"Hebah Patel, Pujita Ponnada, Vasishta N. Simha",5.4,6.5,5.95
Masooda,Telugu,18-Nov-22,"Horror, Thriller",160,Sai Kiran,"Sangeetha, Thiruveer, Kavya Kalyanram",7.2,8.1,7.65
Ante Sundharaniki,Telugu,10-Jun-22,"Comedy, Drama, Romance",173,Vivek Athreya,"Nani, Nazriya Nazim",7.6,8.4,8
Kotha Kothaga,Telugu,26-Aug-22,"Romance, Drama",120,Hanumaan Vasamsetty,"Ajay Aman, Virti Vaghani",7.1,7.8,7.45
Ranga Ranga Vaibhavanga,Telugu,02-Sep-22,"Drama, Romance, Family",122,Gireeshaaya,"Vaisshnav Tej, Ketika Sharma",5.4,6.5,5.95
Ammu,Telugu,19-Oct-22,"Drama, Mystery, Thriller",136,Charukesh Sekar,"Aishwarya Lekshmi, Naveen Chandra, Bobby Simha",6.7,,6.7
Sarkaru Vaari Paata,Telugu,12-May-22,"Action, Drama, Comedy",162,Parasuram Petla,"Mahesh Babu, Keerthy Suresh, Samuthirakani",5.6,8.2,6.9
Yashoda,Telugu,11-Nov-22,"Action, Sci‑Fi, Mystery, Thriller",135,Hari–Harish,"Samantha Ruth Prabhu, Unni Mukundan, Varalaxmi Sarathkumar",6.5,8.2,7.35
18 Pages,Telugu,23-Dec-22,Romantic Comedy-Thriller,133,Palnati Surya Pratap,"Nikhil Siddharth, Anupama Parameswaran",7.1,,7.1
Mishan Impossible,Telugu,01-Apr-22,"Action, Comedy, Thriller",134,Swaroop R. S. J.,"Taapsee Pannu, Harsh Roshan, Bhannu Prakshan, Jayateertha Molugu",6.4,8.8,7.6
Karthikeya 2,Telugu,13-Aug-22,"Adventure, Mystery, Thriller, Action",150,Chandoo Mondeti,"Nikhil Siddharth, Anupama Parameswaran",7.8,8.7,8.25
Godfather,Telugu,05-Oct-22,"Action, Drama, Political Thriller",157,Mohan Raja,"Chiranjeevi, Nayanthara, Satya Dev, Salman Khan (cameo)",5.1,6.5,5.8
F3: Fun and Frustration,Telugu,27-May-22,"Comedy, Family, Romantic Comedy",148,Anil Ravipudi,"Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada",4.7,7.8,6.25
Rajahmundry Rose Milk,Telugu,,"Romantic, Teen Drama",,Naani Bandreddi,"Jai Jasti, Ananthika Sanilkumar, Vennela Kishore",9.5,,9.5
#69 Samskar Colony,Telugu,18-Mar-22,"Romantic, Social Drama",126,P. Suneel Kumar Reddy,"Ester Noronha, Rishwi Thimmaraju, Silpa Nayak, FM Babai",6.2,7.2,6.7
BFH (Boyfriend for Hire),Telugu,14-Oct-22,"Romantic Comedy, Drama",122,Santosh Kambhampati,"Viswant Duddumpudi, Malavika Satheesan",6.7,8.3,7.5
The Ghost,Telugu,05-Oct-22,"Action, Thriller",138,Praveen Sattaru,"Nagarjuna Akkineni, Sonal Chauhan",5.1,7.4,6.25
Bheemla Nayak,Telugu,25-Feb-22,"Action, Drama",130,Saagar K Chandra,"Pawan Kalyan, Rana Daggubati, Nithya Menen",6.2,8.7,7.45
DJ Tillu,Telugu,12-Feb-22,"Comedy, Romance, Thriller",121,Vimal Krishna,"Siddhu Jonnalagadda, Neha Shetty",7.2,8.8,8
Khiladi,Telugu,11-Feb-22,"Action, Thriller",154,Ramesh Varma,"Ravi Teja, Meenakshi Chaudhary, Dimple Hayathi",5.2,7.3,6.25
Dhamaka,Telugu,23-Dec-22,"Action, Comedy, Drama",144,Trinadha Rao Nakkina,"Ravi Teja, Sree Leela",6.1,8.5,7.3
Prince,Telugu,21-Oct-22,"Romantic Comedy, Drama",143,Anudeep KV,"Sivakarthikeyan, Maria Ryaboshapka, Sathyaraj, Premgi Amaren",4.5,7.9,6.2
Macherla Niyojakavargam,Telugu,12-Aug-22,"Action, Political Drama",159,M. S. Rajashekhar Reddy,"Nithiin, Krithi Shetty, Samuthirakani",4.5,7.6,6.05
