Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Demonte Colony 2,Tamil,19-Apr-24,"Horror, Thriller",144,R. Ajay Gnanamuthu,"Arulnithi, Priya Bhavani Shankar",6.6,7.6,7.1
Vaazhai,Tamil,05-Apr-24,Drama,134,Mari Selvaraj,Newcomers (Debut Cast),7.7,8.1,7.9
Garudan,Tamil,31-May-24,"Action, Drama",133,R. S. Durai Senthilkumar,"Soori, Sasikumar, Unni Mukundan",7.1,7.9,7.5
Operation Laila,Tamil,21-Jun-24,"Comedy, Horror",123,Arun Karthik,"Vignesh, Master Mahendran, Anju Kurian",5.5,6.2,5.85
Lover,Tamil,09-Feb-24,"Romance, Drama",145,Prabhuram Vyas,"Manikandan, Sri Gouri Priya",7.1,7.8,7.45
Kanguva,Tamil,10 Oct 2024 (TBA),"Action, Fantasy, Historical",152,Siva,"Suriya, Disha Patani, Bobby Deol",4.5,6.1,5.3
Thiru.Manickam,Tamil,28-Jun-24,"Action, Drama",122,Rajamohan,Vijay Sethupathi,8,8.4,8.2
Lubber Pandhu,Tamil,14-Jun-24,"Sports, Drama, Romance",146,Tamizharasan Pachamuthu,"Harish Kalyan, Swasika, Bala Saravanan",8.1,8.5,8.3
Star,Tamil,10-May-24,Drama,158,Elan,"Kavin, Aaditi Pohankar",6.5,7.2,6.85
Seeran,Tamil,05-Apr-24,"Drama, Social",128,A. Vinoth Kumar,"Harish Uthaman, Sarath Kumar",5.1,6.3,5.7
Indian 2,Tamil,12-Jul-24,"Action, Drama, Thriller",165,Shankar,"Kamal Haasan, Siddharth, Rakul Preet Singh",3.8,5,4.4
Romeo,Tamil,11-Apr-24,"Romance, Drama",150,Vinayak Vaithianathan,"Vijay Antony, Mirnalini Ravi",6,6.8,6.4
Seven Seas Seven Hills,Tamil,22-Mar-24,"Romance, Drama",90,Rajesh Kannan,Debut Cast,8.6,9,8.8
Siren,Tamil,16-Feb-24,"Action, Thriller, Drama",154,Antony Bhagyaraj,"Jayam Ravi, Keerthy Suresh, Anupama Parameswaran",6.4,7.3,6.85
Lal Salaam,Tamil,09-Feb-24,"Drama, Sports, Political",150,Aishwarya Rajinikanth,"Vishnu Vishal, Vikranth, Rajinikanth (special appearance)",4.5,5.8,5.15
Quotation Gang Part 1,Tamil,07-Jun-24,"Crime, Thriller",118,Vivek K.,"Priyamani, Vishnu, John Vijay",8.8,8.9,8.85
Rathnam,Tamil,26-Apr-24,"Action, Drama",155,Hari,"Vishal, Priya Bhavani Shankar, Yogi Babu",5.4,6.3,5.85
Miss You,Tamil,19-Apr-24,"Romance, Drama",128,S. Kathiresan,"G.V. Prakash Kumar, Aathmika",6.1,7.1,6.6
Aranmanai 4,Tamil,03-May-24,"Horror, Comedy",148,Sundar C.,"Sundar C., Tamannaah Bhatia, Raashii Khanna",5,6,5.5
Nandhan,Tamil,29-Mar-24,"Political, Drama",110,Naveen Dwarakanath,"Samuthirakani, Master Ashwanth",7.3,7.8,7.55
Sorgavaasal,Tamil,12-Apr-24,"Drama, Social",138,Rajapandi,"R. K. Suresh, Nandita Swetha",6.6,7.2,6.9
Sattam En Kaiyil,Tamil,01-Mar-24,"Thriller, Crime",124,K. Vijay Anand,"Srikanth, Pooja Devariya",7.9,8.4,8.15
Alangu,Tamil,23-Feb-24,"Political, Action",131,V. Arun Prabhu,"Harish Kalyan, Vani Bhojan",8,8.3,8.15
PT Sir,Tamil,24-May-24,"Comedy, Drama",130,Karthik Venugopalan,"Hiphop Tamizha Aadhi, Kashmira Pardeshi",6.8,7.5,7.15
White Rose,Tamil,15-Mar-24,"Thriller, Drama",117,Sakthivel Perumalsamy,"Tanya Hope, Aadukalam Naren",4.3,5,4.65
DeAr,Tamil,11-Apr-24,"Comedy, Romance, Drama",132,Anand Ravichandran,"G.V. Prakash Kumar, Aishwarya Rajesh",5.2,6.3,5.75
Bloody Beggar,Tamil,14-Jun-24,"Comedy, Drama",134,Kavin,"Kavin, Redin Kingsley, Rajkumar",6.2,7,6.6
Sir,Tamil,03-May-24,"Drama, Social",132,Ashok Veerappan,"Samuthirakani, Kani Kusruti",7.8,8.4,8.1
Bairi,Tamil,19-Apr-24,Drama,140,Ganesh Babu,"Aadhav Kannadasan, Vani Bhojan",7,7.6,7.3
Hot Spot,Tamil,22-Mar-24,"Anthology, Drama",122,Vasudev Bhaskar,"Kalaiyarasan, Ammu Abhirami, Gouri Kishan",7.3,7.8,7.55
Singapore Saloon,Tamil,25-Jan-24,"Comedy, Drama",137,Gokul,"RJ Balaji, Meenakshi Chaudhary, Sathyaraj",6,6.8,6.4
Hitler,Tamil,01-Mar-24,"Political, Thriller",128,D. Vijay Prabhakar,"Vijay Antony, Gautham Vasudev Menon",5.2,6,5.6
Athomugam,Tamil,08-Mar-24,"Thriller, Mystery",130,S. P. Siddharth,"Arun Pandian, Parvez Musharaf, Ananth Nag",7,7.4,7.2
Raghu Thatha,Tamil,26-Apr-24,"Comedy, Drama",134,Suman Kumar,"Keerthy Suresh, M.S. Bhaskar, Devadarshini",6.2,6.9,6.55
Kaaduvetty,Tamil,01-Mar-24,"Drama, Romance",157,Lenin Bharathi,"Arulnithi, Sanchita Shetty",3.2,4.5,3.85
Rebel,Tamil,22-Mar-24,"Political, Thriller",150,Nikesh RS,"G.V. Prakash Kumar, Mamitha Baiju",4.4,5.5,4.95
Oru Nodi,Tamil,19-Apr-24,"Crime, Thriller",128,V. Priya,"Harish Kalyan, Vani Bhojan",6.8,7.6,7.2
Happy Birthday Luci,Tamil,31-May-24,"Horror, Thriller",~,Vishnu Govind,Cast Unconfirmed,9.4,8.8,9.1
Once Upon a Time in Madras,Tamil,26-Apr-24,"Crime, Drama",121,Gautham Krishna,"Hari Krishnan, Ashok Kumar",5.8,6.6,6.2
Jolly O Gymkhana,Tamil,15-Mar-24,"Comedy, Drama",129,Arvind Swamy,"Arvind Swamy, Shruti Ramachandran",7.2,8,7.6
Brother,Tamil,22-Mar-24,"Drama, Family",140,M. Rajesh,"Jayam Ravi, Priyanka Mohan",6.1,6.9,6.5
The Adamant Girl,Tamil,08-Mar-24,"Drama, Social",100,N/A,"Meena, Aadhitya Baaskar",6.6,7.2,6.9
Guardian,Tamil,08-Mar-24,"Horror, Mystery",120,"Sabari, Gurusaravanan","Hansika Motwani, Suresh Menon",4,5.1,4.55
Weapon,Tamil,07-Jun-24,"Sci-Fi, Action",120,Guhan Senniappan,"Sathyaraj, Vasanth Ravi",5.5,6.7,6.1
Pogumidam Vegu Thooramillai,Tamil,29-Mar-24,"Drama, Social",133,S. Hariharan,"Vidharth, Lakshmi Menon",7.3,8,7.65
Rajakili,Tamil,05-Apr-24,Drama,122,Velu Doss,"Samuthirakani, Thambi Ramaiah",4.9,5.8,5.35
Sembian Madhevi,Tamil,15-Mar-24,"Romance, Drama",116,Praveen,"George Maryan, VJ Thara",6.7,7.5,7.1
Blue Star,Tamil,25-Jan-24,"Sports, Drama",166,S. Jayakumar,"Ashok Selvan, Shanthnu, Keerthi Pandian",6.9,7.6,7.25
Mayan,Tamil,19-Apr-24,"Mythology, Thriller",113,J. Rajesh,"Vinod Mohan, Sai Dheena",8.7,9.2,8.95
Saamaniyan,Tamil,22-Mar-24,"Action, Drama",146,R. Rahesh,"Ramarajan, Radha Ravi",7,7.6,7.3
Mazhai Pidikatha Manithan,Tamil,23-Feb-24,"Thriller, Drama",133,Vijay Krishna,"Vijay Antony, Megha Akash",4.5,5.2,4.85
Ranam Aram Thavarel,Tamil,16-Feb-24,"Crime, Thriller",121,Sherief,"Vaibhav, Nandita Swetha",5.9,6.6,6.25
Dandupalayam,Tamil,01-Mar-24,"Crime, Action",137,Srinivasa Raju,"Pooja Gandhi, Makarand Deshpande",5.9,6.5,6.2
Kadaisi Ulaga Por,Tamil,26-Apr-24,"Sci-Fi, Political Thriller",140,G.V. Prakash Kumar,"G.V. Prakash Kumar, Dhansika",6.1,6.8,6.45
Pon Ondru Kanden,Tamil,12-Apr-24,"Romance, Drama",120,Ramesh Arvind,"Ashwin Kumar, Aditi Shankar",5.6,6.4,6
Andhagan,Tamil,10-May-24,"Thriller, Comedy",142,Thiagarajan,"Prashanth, Simran, Priya Anand",6.6,7.3,6.95
Jama,Tamil,17-May-24,"Musical, Drama",133,Justin Prabhakaran,"Karthik, Aditi Balan",7.8,8.4,8.1
Minmini,Tamil,19-Apr-24,"Psychological, Drama",115,Halitha Shameem,"Gaurav Kalai, Esther Anil",7.2,7.9,7.55
Nirangal Moondru,Tamil,15-Mar-24,"Drama, Thriller",122,Karthick Naren,"Atharvaa, Sarath Kumar, Rahman",6.1,6.9,6.5
Aaryamala,Tamil,28-Jun-24,"Romance, Drama",117,Vasanth S. Sai,"Sanchita Shetty, Shabeer Kallarakkal",8.8,9.2,9
Hit List,Tamil,21-Jun-24,"Action, Thriller",125,Soorya Kathir,"Vijay Kanishka, R. Sarathkumar, Gautham Vasudev Menon",5.5,6.3,5.9
Mission: Chapter 1,Tamil,12-Jan-24,"Action, Drama",144,A.L. Vijay,"Arun Vijay, Amy Jackson, Nimisha Sajayan",5.9,6.7,6.3
Family Padam,Tamil,31-May-24,"Family, Drama",131,Krishnakumar Ramakumar,"Vivek Prasanna, Robo Shankar",6.9,7.5,7.2
Inga Naan Thaan Kingu,Tamil,24-May-24,"Comedy, Crime",132,Anand Narayan,"Santhanam, Priyalaya",5.3,6,5.65
,,,,,,,,,
Mura,Malayalam,28-Jun-24,"Action, Thriller",129,S. Mahesh,"Niranj Maniyanpilla Raju, Abhishek Ravindra",7.2,8,7.6
Manjummel Boys,Malayalam,22-Feb-24,"Adventure, Drama, Thriller",135,Chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese",8.2,9.1,8.65
Sookshma Darshini,Malayalam,05-Apr-24,"Thriller, Mystery",142,R. Jayaraj,"Arjun Ashokan, Anna Ben",7.8,8.4,8.1
Premalu,Malayalam,09-Feb-24,"Comedy, Romance",156,Girish A.D.,"Naslen K. Gafoor, Mamitha Baiju",7.8,8.6,8.2
Marco,Malayalam,09-Feb-24,"Action, Thriller",145,Haneef Adeni,Unni Mukundan,6.7,7.4,7.05
Kishkindha Kaandam,Malayalam,24-May-24,"Comedy, Fantasy, Drama",133,Dinjith Ayyathan,"Asif Ali, Aparna Balamurali",8,8.6,8.3
Pani,Malayalam,22-Mar-24,"Crime, Drama",143,Vishnu Govindan,"Basil Joseph, Namitha Pramod",6.9,7.5,7.2
The Goat Life,Malayalam,28-Mar-24,"Biography, Drama",173,Blessy,Prithviraj Sukumaran,7.1,7.9,7.5
Aavesham,Malayalam,11-Apr-24,"Action, Comedy",155,Jithu Madhavan,Fahadh Faasil,7.8,8.5,8.15
Bramayugam,Malayalam,15-Feb-24,"Horror, Mystery, Thriller",139,Rahul Sadasivan,Mammootty,7.8,8.4,8.1
Sthanarthi Sreekuttan,Malayalam,14-Jun-24,"Comedy, Family",135,Sakkir Madathil,"Vineeth Sreenivasan, Anagha Narayanan",7,7.8,7.4
Bougainvillea,Malayalam,05-Apr-24,"Thriller, Drama",138,Vinu Thomas,"Fahadh Faasil, Kunchacko Boban, Jyothirmayi",6.4,7,6.7
Qalb,Malayalam,01-Mar-24,"Romance, Drama",147,Sajid Yahiya,"Neeraj Madhav, Ahaana Krishna",6.5,7.2,6.85
Thalavan,Malayalam,24-May-24,"Crime, Thriller",131,Jis Joy,"Biju Menon, Asif Ali",7.2,7.9,7.55
Vaazha: Biopic of a Billion Boys,Malayalam,19-Apr-24,"Comedy, Drama",125,Amar Prem,"Amith Mohan Rajeshwari, Azees Nedumangad, Noby Marcose",7.3,7.6,7.45
Golam,Malayalam,08-Mar-24,"Crime, Thriller",120,Samjad,"Ranjith Sajeev, Dileesh Pothan",7.2,7.7,7.45
Cup,Malayalam,28-Jun-24,"Sports, Drama",146,Sanju V. Samuel,"Mathew Thomas, Namitha Pramod, Basil Joseph",8.6,8.9,8.75
Hunt,Malayalam,15-Mar-24,Medical Thriller,120,Shaji Azeez,"Bhavana, Aditi Ravi",3.8,4.5,4.15
Abraham Ozler,Malayalam,11-Jan-24,"Crime, Thriller",143,Midhun Manuel Thomas,"Jayaram, Arjun Ashokan, Anaswara Rajan",6.6,7.2,6.9
A.R.M,Malayalam,05-Apr-24,"Historical, Drama",150,Unni Govindraj,"Asif Ali, Joju George",7.1,7.8,7.45
Varshangalkku Shesham,Malayalam,11-Apr-24,"Drama, Comedy",166,Vineeth Sreenivasan,"Pranav Mohanlal, Dhyan Sreenivasan",6.6,7.3,6.95
Kuttante Shinigami,Malayalam,14-Jun-24,Drama,112,Sumesh Madhu,"Rahul Madhav, Shiyas Kareem",5.8,6.2,6
Rifle Club,Malayalam,21-Jun-24,"Action, Thriller",113,Jiju Ashokan,"Indrajith Sukumaran, Aparna Balamurali",7,7.5,7.25
Anweshippin Kandethum,Malayalam,09-Feb-24,"Crime, Thriller",142,Darwin Kuriakose,"Tovino Thomas, Siddique",7.4,8.1,7.75
Kurukku,Malayalam,05-Apr-24,"Crime, Drama",109,Praveen Narayanan,"Deepak Parambol, Sreejith Ravi",6.3,6.9,6.6
Footage,Malayalam,12-Jan-24,"Horror, Thriller",124,Saiju Sreedharan,"Vishak Nair, Gayathri Ashok",4.9,5.6,5.25
Kundannoorile Kulsitha Lahala,Malayalam,19-Apr-24,"Comedy, Drama",147,Akshay Ashok,"Lukman Avaran, Veena Nair",5.7,6.4,6.05
Guruvayoor Ambalanadayil,Malayalam,16-May-24,"Comedy, Drama",132,Vipin Das,"Prithviraj Sukumaran, Basil Joseph",6.6,7.3,6.95
Pattaapakal,Malayalam,03-May-24,"Crime, Comedy",104,Saajir Sadaf,"Franco Francis, Johny Antony, Ramesh Pisharody",2.7,4,3.35
Nunakuzhi,Malayalam,17-May-24,"Thriller, Drama",125,Ark Niranj,"Grace Antony, Basil Joseph, Nikhila Vimal",6.8,7.5,7.15
Kadha Innvare,Malayalam,20-Sep-24,"Drama, Romance",128,Shyju Anthikkad,"Aneesh G Menon, Sudhi Koppa",5.8,8.3,7.05
Level Cross,Malayalam,26-Jul-24,"Drama, Thriller",116,Arfaz Ayub,"Asif Ali, Amala Paul, Sharaf U Dheen",6.8,8,7.4
Turbo,Malayalam,23-May-24,"Action, Comedy, Thriller",155,Vysakh,"Mammootty, Raj B Shetty",5.9,7.2,6.55
Thanupp,Malayalam,04-Oct-24,"Mystery, Drama",110,K. Anand,"Abhishek Bose, Honey Rose",6.8,7.3,7.05
Narayaneente Moonnaanmakkal,Malayalam,2024,"Drama, Family",108,Binu Pappu,"Sudhi Koppa, Alencier Ley Lopez",6.6,7,6.8
I Am Kathalan,Malayalam,2024,"Comedy, Romance, Thriller",115,Christy Sebastian,"Hemanth Menon, Arya Parvathi",6.7,7.1,6.9
Samadhana Pusthakam,Malayalam,2024,"Drama, School",123,(Producer: Suresh Gopi),"Rony David, Amith Mohan Rajeshwari",5,5.8,5.4
Karnika,Malayalam,2024,"Thriller, Mystery",137,Unni Govindraj,"Unni Govindraj, Daya Aswathy",4.3,5,4.65
Adios Amigo,Malayalam,2024,"Drama, Comedy, Road Movie",156,Nahas Hidayath,"Asif Ali, Sharafudheen",5.9,6.5,6.2
Paalum Pazhavum,Malayalam,2024,"Romance, Drama",147,Afsal Abdul Latheef,"Meera Jasmine, Aswin Jose",4.9,5.6,5.25
Anand Sreebala,Malayalam,15-Nov-24,"Mystery, Suspense, Thriller",134,Vishnu Vinay,"Arjun Ashokan, Aparna Das, Saiju Kurup (BookMyShow, OTTPlay)",6.6,8.6,7.6
Jai Ganesh,Malayalam,11-Apr-24,"Drama, Thriller",125,Ranjith Sankar,"Unni Mukundan, Mahima Nambiar",5.9,8.5,7.2
Jamalinte Punjiri,Malayalam,07-Jun-24,"Drama, Thriller",138,Vicky Thambi,"Indrans, Prayaga Martin, Dinesh Panicker, Mallika Sukumaran",8.7,8.9,8.8
Ullozhukku,Malayalam,TBA (mid‑2024),"Drama, Mystery",123,Christo Tomy,"Urvashi, Parvathy Thiruvothu, Arjun Radhakrishnan",7.6,7.9,7.75
Malaikottai Vaaliban,Malayalam,25-Jan-24,"Action, Adventure, Fantasy",155,Lijo Jose Pellissery,Mohanlal,6,6.8,6.4
Grrr..,Malayalam,14-Jun-24,Comedy,121,Jay K,"Kunchacko Boban, Suraj Venjaramoodu",4,7,5.5
Bad Boyz,Malayalam,13-Sep-24,"Comedy, Crime",150,Omar Lulu (assumed),"Rahman; Bibin George, etc.",3.1,7.2,5.15
Vivekanandan Viralaanu,Malayalam,19-Jan-24,"Comedy, Drama",121,Kamal,"Shine Tom Chacko, Swasika Vijay, Grace Antony",3.7,7,5.35
Adhinayakavadham,Malayalam,2 Jul 2024 (estimated),"Political, Comedy",107,Dinesh Ganga,"Priyesh M. Pramod, Sreekanth Soman",5.1,6.2,5.65
Nadikar,Malayalam,TBA (mid‑2024),"Drama, Biopic",142,Jean Paul Lal,Tovino Thomas,5.3,6.5,5.9
Malayalee from India,Malayalam,01-May-24,"Comedy, Drama",158,Dijo Jose Antony,"Nivin Pauly, Dhyan Sreenivasan, Anaswara Rajan (IMDb)",5.6,6.8,6.2
Secret,Malayalam,26-Jul-24,"Mystery, Thriller",119,Ranjith & Dhyan Sreenivasan,"Dhyan Sreenivasan, Aparna Das, Jacob Gregory",3.8,8.9,6.35
Pattam,Malayalam,30-Aug-24,"Suspense, Thriller",116,Rejeesh V. Raja,"Chittu Abraham, Sree Darsh",6.2,9.7,7.95
Ullozhukku,Malayalam,— (2024),"Drama, Mystery",123,Christo Tomy,"Urvashi, Parvathy Thiruvothu, Arjun Radhakrishnan",5.9,7.9,6.9
Iyer in Arabia,Malayalam,02-Feb-24,"Comedy, Family, Drama",~120,M. A. Nishad,"Mukesh, Urvashi, Dhyan Sreenivasan, Shine Tom Chacko",3.8,7,5.4
Njan Kandhatha Sare,Malayalam,22-Nov-24,"Comedy, Thriller",119,Varun G. Panicker,"Indrajith Sukumaran, Mareena Michael, Anoop Menon",9.4,9.5,9.45
Swargathile Katturumbu,Malayalam,21-Jun-24,Drama,139,Jespal Shanmugham,"Jose, Dhyan Sreenivasan, Gayathri Ashok, etc.",4.2,6,5.1
Oshana,Malayalam,01-Nov-24,"Romance, Drama",149,N. V. Manoj,"Dhyan Sreenivasan, Althaf Salim",5.7,7.5,6.6
Idiyan Chandhu,Malayalam,26-Jul-24,"Drama, Action, Thriller",121,Sreejith Vijayan,Vishnu Unnikrishnan,4.7,6.2,5.45
Super Zindagi,Malayalam,09-Aug-24,"Comedy, Drama",131,Vintesh Chembra,"Dhyan Sreenivasan, Mukesh, Parvathi Nair, Suresh Krishna",5.2,8.1,6.65
Hello Mummy,Malayalam,19-Apr-24,"Horror, Comedy",136,Vaishakh Elans,"Asif Ali, Aju Varghese",5.5,6.3,5.9
Thundu,Malayalam,16-Feb-24,"Drama, Comedy",125,Riyas Shereef,"Biju Menon, Shine Tom Chacko",5,6.1,5.6
Kondal,Malayalam,24-May-24,"Action, Drama",147,Jijo Antony,"Shane Nigam, Sunny Wayne",5.3,6.5,5.9
Barroz,Malayalam,28-Mar-24,"Fantasy, Adventure",155,Mohanlal,"Mohanlal, Maya",3.4,5.8,4.6
DNA,Malayalam,12-Apr-24,"Thriller, Crime",156,T.S. Suresh Babu,"Ashkar Saudan, Gauri Kishan",5.1,6,5.6
Jerry,Malayalam,08-Mar-24,"Comedy, Drama",116,Aneesh Upasana,"Johny Antony, Anarkali Marikar",6.9,7.3,7.1
ED: Extra Decent,Malayalam,22-Mar-24,"Drama, Thriller",122,Bilahari,"Suraj Venjaramoodu, Grace Antony",6.1,6.8,6.45
Mandakini,Malayalam,12-Jan-24,"Drama, Family",127,Vinod Leela,"Althaf Salim, Anarkali Nazar",5.9,6.2,6.05
Anchakkallakokkan,Malayalam,23-Feb-24,"Comedy, Action",126,Ullas Chemban,"Ramesh Pisharody, Sudheesh",6.6,7,6.8
Gumasthan,Malayalam,15-Mar-24,"Crime, Thriller",145,Arunlal Ramachandran,"Indrans, Srikant Murali",5.9,6.5,6.2
Anand Sreebala,Malayalam,15-Nov-24,"Mystery, Thriller",134,Vishnu Vinay,"Arjun Ashokan, Sangita Madhavan, Aparna Das, Dhyan Sreenivasan, Saiju Kurup",6.6,8.6,7.6
Jai Ganesh,Malayalam,11-Apr-24,"Drama, Thriller",125,Ranjith Sankar,"Unni Mukundan, Mahima Nambiar",5.9,8.5,7.2
Jamalinte Punjiri,Malayalam,07-Jun-24,Drama,138,Vicky Thambi,"Indrans, Prayaga Martin, Dinesh Panicker, Mallika Sukumaran",8.7,8.9,8.8
Ullozhukku,Malayalam,TBA,"Drama, Mystery",123,Christo Tomy,"Urvashi, Parvathy Thiruvothu, Arjun Radhakrishnan",7.6,7.9,7.75
Malaikottai Vaaliban,Malayalam,25-Jan-24,"Action, Historical Drama",156,Lijo Jose Pellissery,Mohanlal,6,6.8,6.4
Grrrr..,Malayalam,14-Jun-24,Comedy,121,Jay K,"Kunchacko Boban, Suraj Venjaramoodu",4,7,5.5
Bad Boyz,Malayalam,13-Sep-24,"Comedy, Crime",150,Omar Lulu,"Rahman, Bibin George, Aju Varghese, Dhyan Sreenivasan, Anson Paul",3.1,7.2,5.15
Vivekanandan Viralaanu,Malayalam,19-Jan-24,"Drama, Satire",121,Kamal,"Shine Tom Chacko, Swasika Vijay, Grace Antony",3.7,7,5.35
Adhinayakavadham,Malayalam,02-Jul-24,"Political Thriller, Comedy",77,Dinesh Ganga,"Priyesh M Pramod, Sreekanth Soman, Aneesh Govind, Abubacker, Vyshnavi, Silpa",5.1,6.2,5.65
Nadikar,Malayalam,TBA,"Drama, Biopic",142,Lal Jr.,Tovino Thomas,5.3,6.5,5.9
Malayalee from India,Malayalam,01-May-24,"Comedy, Drama",160,Dijo Jose Antony,"Nivin Pauly, Dhyan Sreenivasan, Anaswara Rajan",5.6,6.8,6.2
Secret,Malayalam,26-Jul-24,"Thriller, Mystery",119,S. N. Swamy,"Dhyan Sreenivasan, Aparna Das, Jacob Gregory",3.8,8.9,6.35
Pattth,Malayalam,30-Aug-24,"Suspense, Thriller",86,Rejeesh V. Raja,"Ashik Safiya Aboobakker, Gauthami Lekshmi Gopan",6.2,9.7,7.95
Nadanna Sambhavam,Malayalam,21-Jun-24,"Comedy, Drama",120,Vishnu Narayan,"Biju Menon, Suraj Venjaramoodu, Shruti Ramachandran",5.9,7,6.45
Iyer in Arabia,Malayalam,02-Feb-24,"Family, Comedy",140,M. A. Nishad,"Mukesh, Urvashi, Dhyan Sreenivasan, Shine Tom Chacko",3.8,7,5.4
Njan Kandhatha Sare,Malayalam,Nov-24,Thriller,117,Varun G. Panicker,"Indrajith Sukumaran, Parvathy Arun, Anjana Appukuttan",9.4,9.5,9.45
Swargathile Katturumbu,Malayalam,2024 (TBA),Drama,139,Jespal Shanmugham,"Jose, Ancy, Dhyan Sreenivasan",4.2,6,5.1
Oshana,Malayalam,2024 (TBA),"Romance, Drama",149,N. V. Manoj,"Dhyan Sreenivasan, Althaf Salim",5.7,7.5,6.6
Idiyan Chandhu,Malayalam,26-Jul-24,"Action, Drama",135,Sreejith Vijayan,Vishnu Unnikrishnan,4.7,6.2,5.45
Super Zindagi,Malayalam,Aug-24,"Adventure, Drama",131,Jean Paul Lal,"Dhyan Sreenivasan, Mukesh",5.2,6.5,5.85
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,Malayalam,21/06/24,Romantic Drama,138,Shinto Chakkalakkal,"Shinto Chakkalakkal, Deepa Thomas",6,8.6,7.3
Thayyal Machine,Malayalam,2024,Supernatural Horror,,,Biju Sopanam (rumored),,,
Manorajyam,Malayalam,07/06/24,"Drama, Thriller",112,Rejishh Midhila,"Anarkali Nazar, Dain Davis",5.3,,5.3
Aanandapuram Diaries,Malayalam,14/06/24,Drama,115,Jaya Jose Raj,"Niranjana Anoop, Siddique, Anoop Menon",7,9.2,8.1
Kadakan,Malayalam,21/06/24,"Action, Drama",128,Sajil Mampad,"Basil Joseph, Indrans",3.9,8.6,3.9
Little Hearts,Malayalam,09/02/24,Romantic Comedy,136,Aby Treesa Paul,"Shane Nigam, Mahima Nambiar",5.9,9.2,
Porattu Nadakam,Malayalam,17/05/24,"Satire, Drama",124,Jayaraj Kozhikode,"Saiju Kurup, Dharmajan Bolgatty, Sibi Thomas",7.7,9,
Swargam,Malayalam,31/05/24,Family Drama,108,Babu Kambisseri,"Sreejith Ravi, Sreevidya Nair",4.6,,
Thekku Vadakku,Malayalam,31/05/24,"Comedy, Drama",130,Suresh Pothuvil,"Indrans, Niyas Backer",3.8,,
Rudhiram,Malayalam,28/06/24,Thriller,124,Jisho Lon Anthony,"Aparna Balamurali, Raj B. Shetty",8,8.8,
Lucky Baskhar,Telugu,31-Oct-24,"Crime, Drama, Thriller",148,Venky Atluri,"Dulquer Salmaan, Meenakshi Chaudhary",8,9.3,8.65
Kalki 2898-AD,Telugu,27-Jun-24,"Action, Sci-Fi, Fantasy",180,Nag Ashwin,"Prabhas, Deepika Padukone, Amitabh Bachchan, Kamal Haasan",7,8.6,7.8
